vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
ARMOR-T90-00044,306.8,313.7,1915,75.4,186
ARMOR-T90-00045,298.4,313.1,1418,26.8,29
ARMOR-T90-00046,303.6,312.8,1605,37.9,58
ARMOR-T90-00047,299.1,311.4,1952,27.1,8
ARMOR-T90-00048,301.8,311.9,2122,57.1,219
ARMOR-T90-00049,302.1,309.3,2031,64.9,67
ARMOR-T90-00050,297.4,311.8,1993,37.2,166
ARMOR-T90-00051,307.6,307.6,2443,52.8,80
ARMOR-T90-00052,305.1,315.5,1794,63.4,138
ARMOR-T90-00053,307.2,307.4,1306,44.5,122
ARMOR-T90-00054,306.6,306.1,1780,74.8,129
ARMOR-T90-00055,302.8,310.7,1808,69.0,22
ARMOR-T90-00056,307.0,313.6,2509,19.5,190
ARMOR-T90-00057,296.2,310.7,1207,58.5,241
ARMOR-T90-00058,297.5,308.6,2005,31.5,21
ARMOR-T90-00059,295.6,312.3,1388,54.0,188
ARMOR-T90-00060,299.2,309.5,1280,82.0,153
ARMOR-T90-00061,300.1,317.1,1307,76.5,139
ARMOR-T90-00062,298.5,317.0,2544,43.3,159
ARMOR-T90-00063,305.8,311.5,1885,35.4,8
ARMOR-T90-00064,299.6,309.3,1545,31.4,234
ARMOR-T90-00065,298.7,314.6,1527,52.3,196
ARMOR-T90-00066,302.1,305.5,1754,23.0,89
ARMOR-T90-00067,296.8,311.2,1501,53.4,198
ARMOR-T90-00068,305.4,309.4,1399,15.1,220
ARMOR-T90-00069,296.0,317.0,2092,37.7,32
ARMOR-T90-00070,307.8,305.2,2642,30.4,151
ARMOR-T90-00071,305.0,312.2,2262,83.0,88
ARMOR-T90-00072,297.6,314.6,1506,65.9,94
ARMOR-T90-00073,295.1,311.3,2227,39.5,220
ARMOR-T90-00074,305.6,306.1,2300,21.5,68
ARMOR-T90-00075,304.2,317.6,1667,51.2,37
ARMOR-T90-00076,304.5,311.7,1378,29.9,236
ARMOR-T90-00077,305.0,313.0,1844,52.6,138
ARMOR-T90-00078,296.0,308.1,1475,73.5,159
ARMOR-T90-00079,299.7,311.3,2375,58.1,63
ARMOR-T90-00080,296.5,310.6,2387,59.4,71
ARMOR-T90-00081,306.2,306.0,2513,52.9,19
ARMOR-T90-00082,303.1,306.4,2601,79.9,33
ARMOR-T90-00083,299.3,315.9,1820,80.2,110
ARMOR-T90-00084,295.8,308.1,1837,50.9,41
ARMOR-T90-00085,299.0,307.5,2533,36.4,135
ARMOR-T90-00086,299.2,311.6,2129,47.2,65
ARMOR-T90-00087,304.5,315.0,2612,28.1,20
ARMOR-T90-00088,303.3,305.8,1382,59.5,78
ARMOR-T90-00089,306.5,312.5,2529,50.0,69
ARMOR-T90-00090,301.1,306.5,1271,22.2,4
ARMOR-T90-00091,296.6,305.5,2442,28.8,245
ARMOR-T90-00092,304.3,305.7,1918,48.6,245
ARMOR-T90-00093,304.9,315.8,2396,77.1,66
ARMOR-T90-00094,302.3,306.5,2495,54.6,234
ARMOR-T90-00095,305.0,305.6,1925,62.7,170
ARMOR-T90-00096,301.4,310.7,2691,38.7,15
ARMOR-T90-00097,301.8,316.0,1468,55.0,98
ARMOR-T90-00098,300.6,308.4,2243,46.3,72
ARMOR-T90-00099,295.3,310.5,1777,61.1,34
ARMOR-T90-00100,296.4,305.5,2194,18.5,82
ARMOR-T90-00101,295.4,310.8,2014,49.5,170
ARMOR-T90-00102,303.3,312.5,2726,35.7,109
ARMOR-T90-00103,299.1,312.4,1346,37.8,225
ARMOR-T90-00104,301.6,309.3,2652,82.3,38
ARMOR-T90-00105,306.8,309.1,2388,27.8,9
ARMOR-T90-00106,298.2,306.4,2089,36.8,201
ARMOR-T90-00107,300.3,309.8,1509,50.7,147
ARMOR-T90-00108,304.8,306.3,1717,75.4,0
ARMOR-T90-00109,298.0,315.0,1213,44.2,5
ARMOR-T90-00110,296.0,317.6,1331,67.1,180
ARMOR-T90-00111,298.8,317.6,1954,74.9,173
ARMOR-T90-00112,297.1,316.2,1638,36.7,65
ARMOR-T90-00113,307.1,312.8,1942,42.5,37
ARMOR-T90-00114,305.5,314.1,1939,40.0,160
ARMOR-T90-00115,303.2,308.7,1994,73.3,66
ARMOR-T90-00116,306.3,313.2,1462,18.1,99
ARMOR-T90-00117,305.4,310.9,1842,36.6,76
ARMOR-T90-00118,297.4,311.3,2448,62.6,34
ARMOR-T90-00119,306.6,314.9,1457,54.6,206
ARMOR-T90-00120,302.0,308.7,2457,45.5,44
ARMOR-T90-00121,305.5,309.1,2559,52.8,149
ARMOR-T90-00122,306.6,317.0,1608,28.8,234
ARMOR-T90-00123,299.1,305.7,2174,45.2,67
ARMOR-T90-00124,296.4,311.3,2247,50.1,16
ARMOR-T90-00125,298.0,316.9,1470,78.1,4
ARMOR-T90-00126,300.6,312.9,2318,33.3,212
ARMOR-T90-00127,305.6,312.1,1341,75.7,56
ARMOR-T90-00128,306.2,308.2,2101,60.1,215
ARMOR-T90-00129,295.1,309.5,2173,16.4,94
ARMOR-T90-00130,301.6,316.1,2304,65.7,167
ARMOR-T90-00131,300.4,312.3,1473,17.5,244
ARMOR-T90-00132,297.9,311.7,1475,84.8,247
ARMOR-T90-00133,296.6,306.3,1664,76.1,29
ARMOR-T90-00134,299.4,305.2,2431,35.8,169
ARMOR-T90-00135,307.3,317.5,2519,33.0,6
ARMOR-T90-00136,299.2,309.9,2262,41.7,240
ARMOR-T90-00137,301.7,312.8,1487,39.9,123
ARMOR-T90-00138,304.1,306.0,2347,41.1,198
ARMOR-T90-00139,299.7,313.9,2075,37.3,90
ARMOR-T90-00140,307.6,317.1,2506,58.5,215
ARMOR-T90-00141,307.5,312.5,2077,26.5,146
ARMOR-T90-00142,298.3,306.6,1379,74.2,168
ARMOR-T90-00143,301.5,312.6,2320,71.9,247
ARMOR-T90-00144,298.9,315.0,2414,48.4,161
ARMOR-T90-00145,298.7,310.3,2297,74.7,149
ARMOR-T90-00146,295.5,316.4,1646,32.3,51
ARMOR-T90-00147,302.9,313.4,1984,16.2,242
ARMOR-T90-00148,301.5,316.7,2720,58.3,218
ARMOR-T90-00149,295.7,313.1,1760,47.1,5
ARMOR-T90-00150,298.6,306.7,1683,54.7,201
ARMOR-T90-00151,306.8,309.0,2048,78.0,108
ARMOR-T90-00152,298.1,307.6,1921,82.9,94
ARMOR-T90-00153,296.9,316.8,1315,59.4,152
ARMOR-T90-00154,301.4,314.9,1734,68.5,65
ARMOR-T90-00155,307.8,313.8,2321,20.9,9
ARMOR-T90-00156,298.1,308.9,2551,26.3,201
ARMOR-T90-00157,303.7,307.4,1606,66.3,25
ARMOR-T90-00158,304.9,314.8,2536,45.2,132
ARMOR-T90-00159,298.1,311.2,1893,46.2,213
ARMOR-T90-00160,304.5,307.9,2371,36.6,67
ARMOR-T90-00161,299.8,313.0,2565,57.5,246
ARMOR-T90-00162,303.2,305.5,1694,28.0,97
ARMOR-T90-00163,303.2,309.2,2147,58.9,70
ARMOR-T90-00164,302.0,311.1,1222,27.2,49
ARMOR-T90-00165,296.2,306.9,2328,19.5,16
ARMOR-T90-00166,305.9,317.8,1757,38.1,10
ARMOR-T90-00167,299.2,307.7,2140,31.2,52
ARMOR-T90-00168,297.4,306.7,2445,77.2,49
ARMOR-T90-00169,295.5,307.6,2054,18.8,135
ARMOR-T90-00170,302.7,315.0,2238,27.4,219
ARMOR-T90-00171,303.8,310.5,2090,53.4,123
ARMOR-T90-00172,295.2,312.4,1277,48.7,235
ARMOR-T90-00173,301.7,305.3,2545,18.2,247
ARMOR-T90-00174,297.9,305.4,2006,15.5,224
ARMOR-T90-00175,303.4,310.8,2464,84.2,243
ARMOR-T90-00176,297.3,315.6,2241,61.1,61
ARMOR-T90-00177,304.0,316.5,1967,40.6,216
ARMOR-T90-00178,300.0,306.1,1653,47.9,212
ARMOR-T90-00179,307.2,312.0,2666,33.7,75
ARMOR-T90-00180,296.8,316.9,2127,39.1,122
ARMOR-T90-00181,299.4,310.0,1476,60.4,89
ARMOR-T90-00182,296.5,315.8,2647,76.8,28
ARMOR-T90-00183,307.0,306.7,2699,27.9,101
ARMOR-T90-00184,306.4,317.2,2250,73.8,226
ARMOR-T90-00185,298.4,314.8,1713,23.5,100
ARMOR-T90-00186,303.6,317.2,1663,30.0,109
ARMOR-T90-00187,305.6,313.8,2006,17.6,171
ARMOR-T90-00188,302.2,309.7,2023,24.9,108
ARMOR-T90-00189,301.9,317.2,1562,79.2,172
ARMOR-T90-00190,298.1,308.6,2606,47.2,28
ARMOR-T90-00191,296.2,309.3,1950,20.4,240
ARMOR-T90-00192,306.7,314.1,1724,82.2,215
ARMOR-T90-00193,306.7,314.9,2605,76.5,58
ARMOR-T90-00194,303.2,317.1,2407,67.8,142
ARMOR-T90-00195,299.4,307.7,2417,80.3,69
ARMOR-T90-00196,299.5,315.4,2685,30.4,95
ARMOR-T90-00197,304.4,314.6,1255,73.5,43
ARMOR-T90-00198,306.7,305.8,2453,63.3,225
ARMOR-T90-00199,306.5,310.0,1688,75.9,163
ARMOR-T90-00200,305.1,308.7,2251,70.8,83
ARMOR-T90-00201,303.3,309.0,1921,39.3,120
ARMOR-T90-00202,296.1,317.8,2407,69.2,56
ARMOR-T90-00203,297.1,313.4,2648,33.4,116
ARMOR-T90-00204,306.7,314.3,2598,38.0,63
ARMOR-T90-00205,302.9,317.7,1240,22.6,203
ARMOR-T90-00206,295.1,309.9,2707,80.5,98
ARMOR-T90-00207,296.3,315.4,2203,35.4,240
ARMOR-T90-00208,303.6,310.6,1459,51.4,37
ARMOR-T90-00209,295.1,316.3,1640,42.4,247
ARMOR-T90-00210,297.1,307.3,2125,82.2,144
ARMOR-T90-00211,302.1,317.3,2055,38.5,26
ARMOR-T90-00212,304.0,307.8,1283,69.5,16
ARMOR-T90-00213,303.5,309.2,1245,74.9,62
ARMOR-T90-00214,297.9,314.8,1639,45.5,10
ARMOR-T90-00215,304.3,310.1,2742,41.5,63
ARMOR-T90-00216,298.1,312.9,2185,67.3,246
ARMOR-T90-00217,299.2,310.8,2661,78.9,38
ARMOR-T90-00218,304.7,314.7,1335,67.8,129
ARMOR-T90-00219,303.4,308.0,2406,30.9,114
ARMOR-T90-00220,306.0,305.8,2395,77.2,193
ARMOR-T90-00221,303.5,308.9,2108,42.1,181
ARMOR-T90-00222,302.4,311.2,2060,55.3,156
ARMOR-T90-00223,296.2,307.2,1987,73.2,44
ARMOR-T90-00224,299.8,309.6,1789,28.2,215
ARMOR-T90-00225,298.4,310.2,2155,69.9,87
ARMOR-T90-00226,298.2,305.7,1889,56.7,79
ARMOR-T90-00227,307.6,312.6,1738,77.5,158
ARMOR-T90-00228,300.1,316.5,2343,27.0,176
ARMOR-T90-00229,306.6,307.0,2504,44.4,234
ARMOR-T90-00230,303.2,312.8,2531,73.3,8
ARMOR-T90-00231,305.3,313.6,1907,16.3,154
ARMOR-T90-00232,301.5,310.5,2500,22.9,183
ARMOR-T90-00233,302.5,314.1,2753,84.3,104
ARMOR-T90-00234,301.4,310.3,1494,34.6,124
ARMOR-T90-00235,297.5,311.6,1252,83.3,77
ARMOR-T90-00236,304.4,305.1,2005,27.8,44
ARMOR-T90-00237,298.7,314.0,2655,40.3,216
ARMOR-T90-00238,295.3,313.6,1251,67.7,170
ARMOR-T90-00239,303.4,305.5,1927,61.0,107
ARMOR-T90-00240,297.3,309.8,1271,55.7,149
ARMOR-T90-00241,307.2,317.7,1227,52.1,98
ARMOR-T90-00242,307.4,310.5,1668,74.0,160
ARMOR-T90-00243,306.9,311.5,1963,31.4,26
ARMOR-T90-00244,299.8,316.8,2085,46.0,39
ARMOR-T90-00245,295.2,314.3,2111,25.9,25
ARMOR-T90-00246,307.1,312.6,1746,56.7,82
ARMOR-T90-00247,300.6,315.4,2624,32.5,172
ARMOR-T90-00248,307.6,316.2,1400,38.4,230
ARMOR-T90-00249,307.5,310.9,2019,48.0,172
ARMOR-T90-00250,306.1,311.2,2689,16.9,25
ARMOR-T90-00251,298.8,310.0,1759,21.4,69
ARMOR-T90-00252,300.0,317.6,1578,63.0,66
ARMOR-T90-00253,306.1,314.1,2400,45.0,5
ARMOR-T90-00254,299.1,306.1,2275,75.5,27
ARMOR-T90-00255,297.2,316.2,1278,63.6,194
ARMOR-T90-00256,302.2,311.2,2608,15.6,12
ARMOR-T90-00257,307.2,305.9,2033,58.2,62
ARMOR-T90-00258,304.0,312.1,2799,21.6,12
ARMOR-T90-00259,302.4,310.4,2231,69.7,248
ARMOR-T90-00260,296.3,316.4,2437,84.4,204
ARMOR-T90-00261,303.0,307.7,1224,52.2,128
ARMOR-T90-00262,307.9,315.7,1649,62.8,39
ARMOR-T90-00263,296.8,312.2,1967,31.6,164
ARMOR-T90-00264,301.7,305.7,1954,45.6,30
ARMOR-T90-00265,306.4,317.6,2680,74.9,243
ARMOR-T90-00266,304.6,311.7,2684,26.7,16
ARMOR-T90-00267,304.1,308.8,1397,33.6,136
ARMOR-T90-00268,304.1,311.1,2317,46.2,108
ARMOR-T90-00269,299.7,316.2,1636,64.9,63
ARMOR-T90-00270,298.8,309.0,2750,41.3,56
ARMOR-T90-00271,305.5,307.5,1889,79.9,140
ARMOR-T90-00272,305.5,306.7,2601,21.6,164
ARMOR-T90-00273,306.3,308.9,1786,41.0,141
ARMOR-T90-00274,306.9,315.1,1303,64.6,202
ARMOR-T90-00275,301.6,311.1,1826,30.8,24
ARMOR-T90-00276,301.5,308.0,2262,60.9,222
ARMOR-T90-00277,305.4,307.2,1657,26.5,121
ARMOR-T90-00278,303.4,309.3,1563,18.9,77
ARMOR-T90-00279,304.1,317.2,1334,23.5,56
ARMOR-T90-00280,305.3,309.5,1573,80.1,70
ARMOR-T90-00281,306.6,317.8,2455,53.6,87
ARMOR-T90-00282,299.4,311.3,1238,70.7,112
ARMOR-T90-00283,299.9,307.3,2018,38.3,99
ARMOR-T90-00284,296.2,316.6,1246,56.5,169
ARMOR-T90-00285,302.5,311.0,1235,49.6,169
ARMOR-T90-00286,295.5,314.2,1294,81.2,46
ARMOR-T90-00287,301.1,317.8,2184,67.3,115
ARMOR-T90-00288,302.1,305.7,2584,66.1,171
ARMOR-T90-00289,298.7,306.3,2748,18.2,168
ARMOR-T90-00290,302.7,314.4,2369,53.5,130
ARMOR-T90-00291,295.4,308.7,1567,47.7,238
ARMOR-T90-00292,295.5,307.4,1264,79.9,235
ARMOR-T90-00293,305.7,305.5,2451,33.0,89
ARMOR-T90-00294,299.7,305.3,1953,33.9,110
ARMOR-T90-00295,296.7,315.1,2743,43.8,89
ARMOR-T90-00296,301.8,306.7,2015,32.0,128
ARMOR-T90-00297,305.0,311.1,2778,24.0,206
ARMOR-T90-00298,297.8,312.9,1955,75.0,138
ARMOR-T90-00299,303.1,310.6,1380,54.1,228
ARMOR-T90-00300,296.1,305.4,2724,75.3,134
ARMOR-T90-00301,295.7,315.2,1796,73.2,11
ARMOR-T90-00302,301.9,305.1,2378,34.7,243
ARMOR-T90-00303,302.0,314.9,1986,53.3,248
ARMOR-T90-00304,303.3,316.6,2758,20.8,165
ARMOR-T90-00305,304.4,310.6,1826,79.1,181
ARMOR-T90-00306,307.7,312.0,2658,43.3,194
ARMOR-T90-00307,301.7,311.2,2322,42.6,105
ARMOR-T90-00308,299.2,310.1,1815,36.2,121
ARMOR-T90-00309,305.3,316.5,2595,47.2,52
ARMOR-T90-00310,298.5,316.6,2786,32.6,217
ARMOR-T90-00311,300.7,309.4,2585,41.2,245
ARMOR-T90-00312,296.0,313.0,1311,71.0,221
ARMOR-T90-00313,295.3,317.0,1652,73.4,159
ARMOR-T90-00314,307.5,317.5,1955,36.3,99
ARMOR-T90-00315,305.9,311.6,2392,47.8,172
ARMOR-T90-00316,304.0,310.9,1783,76.2,178
ARMOR-T90-00317,300.3,308.6,1338,18.7,36
ARMOR-T90-00318,297.3,317.5,1430,77.2,118
ARMOR-T90-00319,297.0,306.9,2462,30.3,58
ARMOR-T90-00320,298.3,312.5,2183,62.5,53
ARMOR-T90-00321,302.1,308.7,1452,55.8,145
ARMOR-T90-00322,304.3,308.6,2659,53.7,0
ARMOR-T90-00323,303.6,310.3,1760,75.2,244
ARMOR-T90-00324,298.6,318.0,2645,22.1,148
ARMOR-T90-00325,307.4,305.7,2526,39.3,27
ARMOR-T90-00326,304.6,312.5,1271,52.7,111
ARMOR-T90-00327,302.2,306.1,2486,71.8,15
ARMOR-T90-00328,303.0,307.0,1421,30.2,175
ARMOR-T90-00329,300.5,310.7,2300,71.2,27
ARMOR-T90-00330,298.2,311.6,1261,43.0,149
ARMOR-T90-00331,299.6,308.4,2694,28.2,210
ARMOR-T90-00332,304.9,309.1,2380,68.1,111
ARMOR-T90-00333,295.2,306.1,2005,21.4,128
ARMOR-T90-00334,296.5,308.9,1324,51.0,222
ARMOR-T90-00335,295.6,317.6,1940,19.5,115
ARMOR-T90-00336,295.5,317.3,1360,39.9,243
ARMOR-T90-00337,306.1,309.4,1740,57.1,169
ARMOR-T90-00338,304.1,312.4,1825,53.9,97
ARMOR-T90-00339,301.2,316.8,2758,43.3,237
ARMOR-T90-00340,296.3,305.1,1305,45.0,231
ARMOR-T90-00341,301.4,315.5,2354,30.9,69
ARMOR-T90-00342,301.2,317.3,2580,46.9,91
ARMOR-T90-00343,297.3,306.2,1975,81.7,2
ARMOR-T90-00344,300.6,307.1,1201,74.5,222
ARMOR-T90-00345,300.2,317.5,1432,25.2,207
ARMOR-T90-00346,303.0,312.0,1568,17.1,80
ARMOR-T90-00347,303.3,305.2,2474,80.3,43
ARMOR-T90-00348,295.6,308.3,2145,51.9,154
ARMOR-T90-00349,299.9,310.8,2331,52.6,178
ARMOR-T90-00350,303.1,314.0,2499,69.7,23
ARMOR-T90-00351,301.5,314.5,1379,37.0,147
ARMOR-T90-00352,306.1,317.9,1492,48.7,159
ARMOR-T90-00353,303.6,308.7,1783,82.8,98
ARMOR-T90-00354,297.1,312.0,1994,62.1,140
ARMOR-T90-00355,295.9,311.9,1374,25.8,111
ARMOR-T90-00356,303.4,310.3,1322,24.3,170
ARMOR-T90-00357,295.3,307.2,1426,29.3,147
ARMOR-T90-00358,302.6,317.7,1643,68.7,122
ARMOR-T90-00359,307.2,316.1,1627,35.7,111
ARMOR-T90-00360,302.5,311.5,2306,16.5,243
ARMOR-T90-00361,300.0,312.8,1964,81.1,129
ARMOR-T90-00362,303.4,308.0,1831,26.9,67
ARMOR-T90-00363,301.0,312.1,1264,15.7,90
ARMOR-T90-00364,302.1,314.0,2504,31.6,59
ARMOR-T90-00365,307.2,311.7,2614,31.5,216
ARMOR-T90-00366,300.0,317.9,1627,44.5,131
ARMOR-T90-00367,307.5,312.9,1817,79.4,123
ARMOR-T90-00368,306.8,309.8,2124,76.5,95
ARMOR-T90-00369,297.5,315.0,2011,47.0,144
ARMOR-T90-00370,295.9,307.2,1306,43.8,128
ARMOR-T90-00371,296.3,310.0,2771,53.9,32
ARMOR-T90-00372,295.2,309.5,1858,32.0,29
ARMOR-T90-00373,296.2,310.6,2485,18.7,4
ARMOR-T90-00374,303.9,315.2,2382,80.7,117
ARMOR-T90-00375,295.9,311.3,1464,28.1,139
ARMOR-T90-00376,299.1,315.3,2691,28.9,229
ARMOR-T90-00377,306.0,312.5,2425,48.1,159
ARMOR-T90-00378,295.3,309.4,1354,49.4,37
ARMOR-T90-00379,305.6,315.5,2236,16.3,248
ARMOR-T90-00380,298.7,308.1,2520,25.4,16
ARMOR-T90-00381,296.5,307.9,2095,41.5,185
ARMOR-T90-00382,304.1,311.6,2721,62.9,245
ARMOR-T90-00383,303.2,308.4,2192,31.0,108
ARMOR-T90-00384,306.4,305.1,1444,44.6,39
ARMOR-T90-00385,304.6,313.4,2523,54.0,223
ARMOR-T90-00386,305.4,311.6,2585,77.2,151
ARMOR-T90-00387,298.7,310.8,2577,37.8,139
ARMOR-T90-00388,297.3,317.6,2744,24.3,110
ARMOR-T90-00389,304.8,312.4,1585,49.2,127
ARMOR-T90-00390,305.5,316.2,1958,67.3,94
ARMOR-T90-00391,307.9,306.8,2535,22.7,146
ARMOR-T90-00392,300.4,312.4,1613,44.7,28
ARMOR-T90-00393,299.8,316.3,2501,16.2,212
ARMOR-T90-00394,305.1,312.6,1914,17.3,217
ARMOR-T90-00395,299.4,314.3,1958,48.8,179
ARMOR-T90-00396,307.1,309.8,1946,35.9,219
ARMOR-T90-00397,306.2,306.2,1792,74.2,144
ARMOR-T90-00398,300.6,311.0,2579,57.2,72
ARMOR-T90-00399,304.8,310.1,2748,46.8,20
ARMOR-T90-00400,304.8,316.3,2038,43.6,241
ARMOR-T90-00401,296.3,308.2,1215,49.8,59
ARMOR-T90-00402,306.7,317.6,2192,17.8,97
ARMOR-T90-00403,301.6,317.5,2268,77.5,74
ARMOR-T90-00404,305.7,308.2,2544,84.9,118
ARMOR-T90-00405,299.2,309.5,1850,27.7,147
ARMOR-T90-00406,306.6,316.6,2549,23.4,112
ARMOR-T90-00407,300.1,317.6,1347,25.1,180
ARMOR-T90-00408,295.1,310.8,1554,61.3,113
ARMOR-T90-00409,306.8,309.2,2459,61.3,238
ARMOR-T90-00410,296.2,311.8,1902,74.4,102
ARMOR-T90-00411,299.2,313.9,1812,67.6,79
ARMOR-T90-00412,307.4,308.6,1304,46.5,62
ARMOR-T90-00413,307.4,314.6,2697,57.9,56
ARMOR-T90-00414,302.5,305.7,1595,63.2,28
ARMOR-T90-00415,303.2,305.6,2669,50.9,128
ARMOR-T90-00416,300.8,310.0,1805,48.3,123
ARMOR-T90-00417,298.8,309.6,2443,60.2,209
ARMOR-T90-00418,299.3,309.1,2050,54.0,58
ARMOR-T90-00419,303.7,311.4,1641,60.1,191
ARMOR-T90-00420,304.8,309.2,2072,57.9,85
ARMOR-T90-00421,305.3,307.5,1866,65.3,199
ARMOR-T90-00422,305.3,309.0,2251,60.0,70
ARMOR-T90-00423,296.2,317.7,1993,51.4,88
ARMOR-T90-00424,301.4,310.3,1674,62.7,221
ARMOR-T90-00425,295.7,310.8,1827,46.5,97
ARMOR-T90-00426,302.1,312.5,2528,31.9,43
ARMOR-T90-00427,300.7,317.8,2628,15.1,175
ARMOR-T90-00428,306.5,308.1,2736,54.2,232
ARMOR-T90-00429,299.6,313.9,1701,56.3,115
ARMOR-T90-00430,296.5,314.3,1547,83.0,74
ARMOR-T90-00431,296.9,312.9,2463,40.3,142
ARMOR-T90-00432,304.9,306.2,2217,42.6,162
ARMOR-T90-00433,303.0,313.8,1769,29.1,22
ARMOR-T90-00434,296.3,305.8,1894,19.9,180
ARMOR-T90-00435,296.1,312.7,2560,69.1,44
ARMOR-T90-00436,304.1,314.6,1225,32.5,212
ARMOR-T90-00437,295.9,307.7,2632,57.6,91
ARMOR-T90-00438,305.7,315.9,2300,63.1,12
ARMOR-T90-00439,304.2,305.4,1416,48.0,33
ARMOR-T90-00440,296.1,316.0,2551,76.3,165
ARMOR-T90-00441,296.1,311.0,2036,46.1,69
ARMOR-T90-00442,307.8,307.8,1973,34.9,107
ARMOR-T90-00443,299.9,306.7,2246,77.7,195
ARMOR-T90-00444,299.8,317.4,1869,75.3,132
ARMOR-T90-00445,305.6,305.9,1917,26.5,246
ARMOR-T90-00446,307.3,307.6,1509,16.8,125
ARMOR-T90-00447,307.8,309.5,1798,21.3,167
ARMOR-T90-00448,304.8,313.1,1466,35.1,197
ARMOR-T90-00449,299.9,312.1,2638,83.1,20
ARMOR-T90-00450,296.1,306.6,1845,54.1,155
ARMOR-T90-00451,305.1,308.8,2490,41.1,130
ARMOR-T90-00452,302.3,308.1,2556,77.2,22
ARMOR-T90-00453,300.5,307.8,2222,46.7,199
ARMOR-T90-00454,306.8,310.3,1649,37.1,18
ARMOR-T90-00455,296.4,314.2,1764,80.9,244
ARMOR-T90-00456,301.4,307.8,2470,74.5,202
ARMOR-T90-00457,295.1,309.8,2259,74.1,49
ARMOR-T90-00458,301.1,310.1,2624,50.9,201
ARMOR-T90-00459,295.7,317.7,1227,70.3,185
ARMOR-T90-00460,296.5,317.4,1419,27.6,219
ARMOR-T90-00461,296.5,315.4,1605,55.1,19
ARMOR-T90-00462,303.4,308.1,1470,83.9,235
ARMOR-T90-00463,304.7,305.9,1991,35.4,115
ARMOR-T90-00464,302.6,309.1,2734,70.6,91
ARMOR-T90-00465,307.5,308.5,2162,49.3,92
ARMOR-T90-00466,299.9,311.6,2509,17.8,199
ARMOR-T90-00467,298.7,315.1,2677,68.4,82
ARMOR-T90-00468,306.3,316.2,2033,26.8,52
ARMOR-T90-00469,297.9,316.0,1516,59.2,239
ARMOR-T90-00470,307.5,309.7,2520,21.0,122
ARMOR-T90-00471,295.2,313.9,1537,81.3,84
ARMOR-T90-00472,307.6,309.1,2530,35.4,81
ARMOR-T90-00473,295.6,305.8,2651,30.9,8
ARMOR-T90-00474,306.6,314.1,1550,24.0,3
ARMOR-T90-00475,301.9,305.1,1710,81.2,168
ARMOR-T90-00476,307.9,310.3,1724,64.8,24
ARMOR-T90-00477,296.0,309.3,1691,66.9,33
ARMOR-T90-00478,302.2,314.0,1208,50.0,72
ARMOR-T90-00479,307.6,315.0,2720,48.2,136
