asset_id,vibration_g_rms,bearing_temp_c,shaft_rpm,kurtosis
AST-BRG-00055,0.0767,57.4,3579,3.52
AST-BRG-00056,0.0708,91.5,1887,3.2
AST-BRG-00057,0.0508,45.0,1856,3.38
AST-BRG-00058,0.0407,65.0,2742,2.96
AST-BRG-00059,0.074,76.5,2492,3.27
AST-BRG-00060,0.0626,76.8,2599,3.55
AST-BRG-00061,0.0645,73.9,2752,3.42
AST-BRG-00062,1.6489,51.5,2275,7.05
AST-BRG-00063,0.0747,44.4,1524,3.29
AST-BRG-00064,0.0695,73.2,2191,3.11
AST-BRG-00065,0.7145,71.0,3193,4.83
AST-BRG-00066,0.0547,45.8,1916,3.4
AST-BRG-00067,0.0637,77.3,1476,3.42
AST-BRG-00068,0.0641,62.3,1351,3.1
AST-BRG-00069,0.045,75.1,2154,3.47
AST-BRG-00070,0.071,85.2,2706,3.33
AST-BRG-00071,0.0451,45.2,1458,3.14
AST-BRG-00072,0.0411,36.1,3571,3.2
AST-BRG-00073,0.078,81.7,2068,3.36
AST-BRG-00074,1.7522,71.6,2391,7.52
AST-BRG-00075,0.5079,77.0,1887,4.36
AST-BRG-00076,0.0547,85.3,1509,3.24
AST-BRG-00077,0.058,83.2,2702,3.05
AST-BRG-00078,0.9798,92.7,1672,5.74
AST-BRG-00079,0.0667,67.2,2013,3.29
AST-BRG-00080,0.0703,64.3,2045,3.05
AST-BRG-00081,1.4213,59.1,2364,6.81
AST-BRG-00082,0.4154,44.2,1866,4.4
AST-BRG-00083,0.0518,69.4,3509,3.5
AST-BRG-00084,0.0462,51.6,3008,3.14
AST-BRG-00085,0.1524,90.3,2643,3.26
AST-BRG-00086,0.0598,70.0,2967,3.26
AST-BRG-00087,0.0514,70.6,2464,3.0
AST-BRG-00088,0.045,56.3,1554,3.47
AST-BRG-00089,0.0695,38.1,3072,3.08
AST-BRG-00090,0.0497,36.9,3224,3.08
AST-BRG-00091,0.0471,60.4,1379,3.16
AST-BRG-00092,0.0497,40.1,1265,3.15
AST-BRG-00093,0.0632,71.4,2019,3.43
AST-BRG-00094,0.0705,87.9,2571,3.25
AST-BRG-00095,0.0427,88.0,1370,3.01
AST-BRG-00096,0.1736,74.5,2590,3.39
AST-BRG-00097,0.1377,47.7,2330,3.45
AST-BRG-00098,0.1597,86.8,2034,3.29
AST-BRG-00099,0.0488,88.2,1426,3.29
AST-BRG-00100,0.1328,46.8,1641,3.47
AST-BRG-00101,0.064,79.2,1927,3.39
AST-BRG-00102,0.0633,52.2,2804,3.52
AST-BRG-00103,0.0529,83.2,3331,3.48
AST-BRG-00104,0.0725,94.8,2236,3.55
AST-BRG-00105,0.0633,36.8,3032,3.11
AST-BRG-00106,1.1379,88.8,3048,5.72
AST-BRG-00107,1.3015,72.4,1692,6.24
AST-BRG-00108,0.0477,93.4,2748,3.46
AST-BRG-00109,0.065,62.9,2343,3.55
AST-BRG-00110,0.0581,85.8,2169,3.46
AST-BRG-00111,0.0545,38.7,3287,3.0
AST-BRG-00112,1.6059,55.1,1839,7.38
AST-BRG-00113,0.0579,39.0,1372,3.2
AST-BRG-00114,0.053,93.5,2770,2.94
AST-BRG-00115,0.0557,84.0,1458,3.2
AST-BRG-00116,0.0785,86.2,1716,3.02
AST-BRG-00117,0.0534,91.3,1722,3.26
AST-BRG-00118,0.0413,40.1,3117,3.11
AST-BRG-00119,0.0456,58.1,3364,3.2
AST-BRG-00120,0.0646,39.3,3431,3.33
AST-BRG-00121,1.7949,47.6,3129,7.81
AST-BRG-00122,0.0515,48.8,2339,3.33
AST-BRG-00123,0.6593,63.1,3409,4.71
AST-BRG-00124,0.0702,51.1,2038,3.47
AST-BRG-00125,0.21,41.1,2289,3.87
AST-BRG-00126,0.0673,45.0,2293,3.04
AST-BRG-00127,0.0451,43.8,3169,3.23
AST-BRG-00128,0.0757,93.4,2774,3.16
AST-BRG-00129,0.0452,80.6,2780,2.94
AST-BRG-00130,0.0601,93.1,3573,3.35
AST-BRG-00131,0.0618,61.4,2314,3.47
AST-BRG-00132,0.1443,51.7,1949,3.26
AST-BRG-00133,0.0604,82.9,2293,3.44
AST-BRG-00134,0.0447,54.6,2389,3.42
AST-BRG-00135,0.0615,53.0,3461,3.5
AST-BRG-00136,1.191,49.0,3075,5.94
AST-BRG-00137,0.0447,42.8,2987,3.45
AST-BRG-00138,0.0765,50.4,2807,3.18
AST-BRG-00139,0.0705,56.3,1248,3.31
AST-BRG-00140,0.053,75.4,2275,2.96
AST-BRG-00141,0.1892,38.8,2512,3.3
AST-BRG-00142,0.0712,47.6,2849,3.41
AST-BRG-00143,1.6532,83.5,3380,7.2
AST-BRG-00144,0.0705,43.8,2389,3.13
AST-BRG-00145,0.5009,55.6,2597,4.17
AST-BRG-00146,0.1506,86.9,3028,3.58
AST-BRG-00147,0.0699,44.3,1678,2.98
AST-BRG-00148,0.0456,40.0,2031,3.4
AST-BRG-00149,0.059,64.1,2814,3.0
AST-BRG-00150,0.0749,53.1,1881,3.1
AST-BRG-00151,0.0568,68.8,2523,3.17
AST-BRG-00152,0.2063,83.2,1281,3.61
AST-BRG-00153,0.6438,43.2,1286,4.62
AST-BRG-00154,1.3041,69.8,3472,6.25
AST-BRG-00155,0.0622,65.3,3263,3.53
AST-BRG-00156,0.0746,43.6,2021,3.37
AST-BRG-00157,0.8151,72.4,1362,4.85
AST-BRG-00158,0.0749,51.4,3597,3.25
AST-BRG-00159,0.0431,64.3,3132,3.43
AST-BRG-00160,0.041,39.9,3050,3.08
AST-BRG-00161,0.07,62.6,3060,3.03
AST-BRG-00162,1.5396,53.4,2315,7.1
AST-BRG-00163,0.1647,84.3,3428,3.58
AST-BRG-00164,0.0529,38.4,3082,3.27
AST-BRG-00165,0.1375,60.1,2122,3.18
AST-BRG-00166,1.2265,62.5,3375,5.95
AST-BRG-00167,0.0415,78.5,2649,3.28
AST-BRG-00168,0.1807,69.5,2782,3.38
AST-BRG-00169,0.0419,75.0,1764,3.21
AST-BRG-00170,0.1381,81.6,1670,3.47
AST-BRG-00171,0.0678,86.7,2187,3.14
AST-BRG-00172,0.0407,53.8,3134,3.47
AST-BRG-00173,0.057,67.3,1423,3.45
AST-BRG-00174,0.763,85.4,3401,5.14
AST-BRG-00175,0.2131,94.4,1550,3.38
AST-BRG-00176,0.0592,88.4,3128,3.01
AST-BRG-00177,0.0785,57.3,1548,3.29
AST-BRG-00178,0.0559,46.7,1381,3.04
AST-BRG-00179,0.0672,64.4,1836,3.55
AST-BRG-00180,0.0446,79.5,2217,3.01
AST-BRG-00181,0.0567,64.6,3426,3.23
AST-BRG-00182,0.0513,64.0,1971,3.15
AST-BRG-00183,0.0418,85.3,2215,3.29
AST-BRG-00184,0.0447,56.7,3311,2.99
AST-BRG-00185,0.0616,86.6,1228,3.21
AST-BRG-00186,0.0708,59.4,3344,3.14
AST-BRG-00187,0.0428,54.7,3093,3.44
AST-BRG-00188,0.2176,62.2,2665,3.37
AST-BRG-00189,0.0501,80.7,2426,3.47
AST-BRG-00190,0.052,42.6,3268,3.43
AST-BRG-00191,0.1312,46.8,2325,3.31
AST-BRG-00192,0.0511,92.1,1265,3.4
AST-BRG-00193,0.0683,45.5,2334,2.99
AST-BRG-00194,0.0721,69.1,1537,3.56
AST-BRG-00195,0.0608,69.8,3370,3.27
AST-BRG-00196,1.0361,64.4,2928,5.57
AST-BRG-00197,0.0489,73.7,1646,3.14
AST-BRG-00198,0.0545,48.8,1480,2.98
AST-BRG-00199,0.0595,68.2,1795,3.54
AST-BRG-00200,0.0509,57.3,3186,2.95
AST-BRG-00201,0.1428,74.7,2274,3.55
AST-BRG-00202,0.0695,43.5,1409,3.24
AST-BRG-00203,0.1982,69.3,1325,3.86
AST-BRG-00204,0.0758,46.1,1691,3.14
AST-BRG-00205,0.0752,51.7,2169,3.31
AST-BRG-00206,0.0698,48.1,1780,3.26
AST-BRG-00207,0.0689,46.0,3505,3.39
AST-BRG-00208,0.0556,84.5,2411,2.98
AST-BRG-00209,0.0631,52.1,1429,3.07
AST-BRG-00210,0.0469,90.6,1388,3.05
AST-BRG-00211,0.0733,93.2,3257,3.43
AST-BRG-00212,0.0709,69.3,1701,3.09
AST-BRG-00213,0.189,43.6,3332,3.62
AST-BRG-00214,0.0544,57.5,1248,3.07
AST-BRG-00215,0.0615,82.9,1888,3.47
AST-BRG-00216,0.0608,57.0,1586,3.52
AST-BRG-00217,0.0675,40.2,2169,3.28
AST-BRG-00218,0.0718,68.4,2205,3.19
AST-BRG-00219,0.2127,85.7,3465,3.47
AST-BRG-00220,0.0413,82.8,2924,2.93
AST-BRG-00221,0.0472,45.5,3204,3.08
AST-BRG-00222,0.0471,75.4,3502,3.31
AST-BRG-00223,1.0462,48.2,3483,5.74
AST-BRG-00224,0.1525,48.1,2807,3.75
AST-BRG-00225,1.4717,87.4,2989,6.72
AST-BRG-00226,0.1607,50.0,1470,3.62
AST-BRG-00227,0.0766,50.8,1322,3.29
AST-BRG-00228,0.1955,35.0,2480,3.6
AST-BRG-00229,0.0515,87.2,2644,3.09
AST-BRG-00230,0.5415,82.6,1458,4.43
AST-BRG-00231,0.5869,72.6,2147,4.55
AST-BRG-00232,0.0601,80.0,3294,3.37
AST-BRG-00233,0.0776,44.1,2062,3.56
AST-BRG-00234,0.134,62.5,1724,3.33
AST-BRG-00235,0.0784,56.1,2087,3.02
AST-BRG-00236,0.077,40.6,1407,3.29
AST-BRG-00237,0.0485,64.2,1348,3.25
AST-BRG-00238,0.0528,90.2,1637,3.03
AST-BRG-00239,0.4872,37.4,3402,4.47
AST-BRG-00240,0.0501,52.5,2921,3.52
AST-BRG-00241,0.0427,47.5,1557,3.47
AST-BRG-00242,0.0486,49.3,2440,3.04
AST-BRG-00243,0.0492,89.5,3130,3.45
AST-BRG-00244,0.0479,63.1,1655,3.34
AST-BRG-00245,0.0496,63.0,2832,3.2
AST-BRG-00246,1.3197,80.6,1828,6.42
AST-BRG-00247,0.0772,44.3,1685,3.5
AST-BRG-00248,0.0678,64.2,1399,3.26
AST-BRG-00249,0.0637,60.8,1570,3.18
AST-BRG-00250,0.0554,70.8,2213,3.23
AST-BRG-00251,0.065,95.0,3182,3.31
AST-BRG-00252,0.6583,81.2,2671,4.56
AST-BRG-00253,0.0759,58.9,1447,3.53
AST-BRG-00254,0.0601,84.7,1987,3.35
AST-BRG-00255,0.0672,45.2,3511,3.35
AST-BRG-00256,0.0751,36.8,3278,3.05
AST-BRG-00257,0.0408,47.3,2721,3.26
AST-BRG-00258,1.4109,55.4,2472,6.4
AST-BRG-00259,0.9262,65.6,1804,5.16
AST-BRG-00260,0.06,71.9,2889,3.27
AST-BRG-00261,0.0413,89.6,2617,3.14
AST-BRG-00262,0.0653,65.6,3020,3.32
AST-BRG-00263,0.0578,65.1,1701,3.0
AST-BRG-00264,0.1758,38.0,1748,3.5
AST-BRG-00265,0.0507,37.1,2565,3.03
AST-BRG-00266,0.0771,68.1,2038,3.58
AST-BRG-00267,0.0576,61.3,2630,3.28
AST-BRG-00268,0.9523,85.4,2648,5.59
AST-BRG-00269,0.0681,44.6,2047,3.17
AST-BRG-00270,0.0624,36.5,1813,3.01
AST-BRG-00271,0.065,61.9,1611,3.55
AST-BRG-00272,0.0572,49.2,1877,3.11
AST-BRG-00273,0.0524,38.0,1358,3.19
AST-BRG-00274,0.0724,78.5,3261,3.37
AST-BRG-00275,0.0698,41.7,1572,2.99
AST-BRG-00276,0.2145,71.5,3472,3.82
AST-BRG-00277,0.0679,51.9,2296,3.29
AST-BRG-00278,0.0407,45.4,1802,3.07
AST-BRG-00279,0.0684,57.8,1415,3.01
AST-BRG-00280,0.0528,83.1,3196,3.03
AST-BRG-00281,0.0561,58.5,2764,3.48
AST-BRG-00282,0.2127,80.0,3040,3.74
AST-BRG-00283,0.048,42.5,3162,3.07
AST-BRG-00284,0.0658,81.4,1926,3.0
AST-BRG-00285,0.1236,49.2,2444,3.52
AST-BRG-00286,0.0774,75.6,2265,3.34
AST-BRG-00287,0.0692,68.9,1875,3.22
AST-BRG-00288,0.0646,90.7,1482,3.18
AST-BRG-00289,0.0575,58.2,2281,3.07
AST-BRG-00290,0.1289,39.0,3108,3.52
AST-BRG-00291,0.0496,36.1,2352,3.51
AST-BRG-00292,0.0786,84.6,2147,3.1
AST-BRG-00293,0.0485,66.5,1864,3.28
AST-BRG-00294,0.0462,81.5,2917,3.17
AST-BRG-00295,0.0636,49.1,2348,3.23
AST-BRG-00296,0.0671,55.7,1266,3.12
AST-BRG-00297,0.0713,36.8,3253,3.47
AST-BRG-00298,0.0431,92.7,1836,3.2
AST-BRG-00299,0.0782,75.1,1513,3.32
AST-BRG-00300,0.0431,91.0,1764,3.09
AST-BRG-00301,0.0723,50.9,2801,3.09
AST-BRG-00302,0.0616,71.7,2025,3.01
AST-BRG-00303,0.057,75.7,2305,3.37
AST-BRG-00304,0.0595,54.1,2225,3.07
AST-BRG-00305,0.1655,85.9,3451,3.63
AST-BRG-00306,0.0701,91.8,1861,3.21
AST-BRG-00307,0.071,88.1,2004,3.23
AST-BRG-00308,0.0752,79.3,1735,3.27
AST-BRG-00309,0.1381,51.6,2591,3.37
AST-BRG-00310,0.0642,51.9,2435,3.02
AST-BRG-00311,0.7454,92.8,3120,4.85
AST-BRG-00312,0.0597,35.6,3364,3.35
AST-BRG-00313,0.0431,78.0,1827,3.31
AST-BRG-00314,0.054,77.4,1948,3.11
AST-BRG-00315,1.4324,72.4,1304,6.66
AST-BRG-00316,0.8545,94.4,1245,5.05
AST-BRG-00317,0.1555,53.7,2554,3.31
AST-BRG-00318,0.0535,55.4,2439,2.95
AST-BRG-00319,0.0412,39.7,2181,3.44
AST-BRG-00320,1.4999,61.6,2159,6.68
AST-BRG-00321,1.0762,50.7,2715,5.63
AST-BRG-00322,0.0442,55.6,3036,3.08
AST-BRG-00323,0.0585,85.1,2681,3.02
AST-BRG-00324,0.0707,91.1,2759,3.36
AST-BRG-00325,0.6064,46.1,2707,4.36
AST-BRG-00326,0.054,57.4,3263,3.02
AST-BRG-00327,0.0448,90.7,3200,3.3
AST-BRG-00328,0.4293,38.7,3490,4.08
AST-BRG-00329,0.1867,40.5,3173,3.69
AST-BRG-00330,0.0723,44.8,2111,3.32
AST-BRG-00331,0.0778,70.7,2494,3.15
AST-BRG-00332,0.0779,44.0,3002,3.39
AST-BRG-00333,0.5479,93.1,2953,4.24
AST-BRG-00334,1.5772,61.8,1314,7.06
AST-BRG-00335,0.0614,65.1,2803,3.22
AST-BRG-00336,0.0634,49.8,2522,3.12
AST-BRG-00337,0.0451,63.3,3060,3.28
AST-BRG-00338,0.0704,74.7,2298,3.5
AST-BRG-00339,0.0761,80.1,2177,3.59
AST-BRG-00340,0.0777,80.2,2705,3.36
AST-BRG-00341,0.0674,69.7,2326,3.21
AST-BRG-00342,0.0414,89.3,1496,3.04
AST-BRG-00343,0.0664,84.0,3425,3.12
AST-BRG-00344,0.05,80.4,3562,3.21
AST-BRG-00345,1.5644,38.3,2262,6.93
AST-BRG-00346,0.0664,35.4,1458,3.51
AST-BRG-00347,0.0661,47.7,3254,3.19
AST-BRG-00348,0.0788,74.8,3296,3.22
AST-BRG-00349,0.1573,59.7,3408,3.42
AST-BRG-00350,0.061,59.1,3092,3.45
AST-BRG-00351,0.0685,88.1,1375,3.36
AST-BRG-00352,0.0418,88.7,2200,3.27
AST-BRG-00353,0.0617,89.6,3118,3.15
AST-BRG-00354,0.043,53.8,2867,3.4
AST-BRG-00355,1.0734,76.5,1475,5.51
AST-BRG-00356,0.0461,51.3,1875,3.44
AST-BRG-00357,0.0517,46.4,3023,3.24
AST-BRG-00358,0.0445,46.1,2251,3.15
AST-BRG-00359,0.0499,55.5,2556,3.22
AST-BRG-00360,0.0527,60.8,3303,3.33
AST-BRG-00361,0.0585,84.9,1746,2.95
AST-BRG-00362,1.2235,42.2,2335,6.38
AST-BRG-00363,0.0404,79.1,3283,3.17
AST-BRG-00364,1.1759,66.9,3240,5.95
AST-BRG-00365,0.0769,52.3,1638,3.08
AST-BRG-00366,0.0491,64.6,2952,3.19
AST-BRG-00367,0.0492,53.0,2815,3.22
AST-BRG-00368,0.0522,70.8,3049,3.17
AST-BRG-00369,0.0445,61.0,2800,3.32
AST-BRG-00370,1.1671,44.9,2863,5.97
AST-BRG-00371,1.1082,42.0,1506,6.15
AST-BRG-00372,0.0653,67.8,1818,3.32
AST-BRG-00373,0.1541,89.1,2332,3.67
AST-BRG-00374,1.5821,55.6,2595,6.82
AST-BRG-00375,0.0564,79.0,3428,3.18
AST-BRG-00376,0.054,74.5,2579,3.14
AST-BRG-00377,0.2051,90.9,2899,3.65
AST-BRG-00378,0.0653,84.3,3315,3.48
AST-BRG-00379,0.046,69.0,3539,2.96
AST-BRG-00380,0.8136,74.4,1380,4.88
AST-BRG-00381,0.049,88.9,2687,3.43
AST-BRG-00382,0.0736,59.0,2113,3.11
AST-BRG-00383,0.0654,54.6,2757,3.36
AST-BRG-00384,0.132,35.6,3313,3.46
AST-BRG-00385,0.1858,84.6,2244,3.76
AST-BRG-00386,0.5699,83.1,2835,4.3
AST-BRG-00387,0.0463,41.3,2838,2.99
AST-BRG-00388,0.2068,69.6,2782,3.65
AST-BRG-00389,0.0605,62.8,3286,3.52
AST-BRG-00390,0.0653,42.1,2508,3.21
AST-BRG-00391,0.1218,93.8,2021,3.3
AST-BRG-00392,0.0772,47.9,1801,3.36
AST-BRG-00393,0.0732,39.0,2820,3.54
AST-BRG-00394,0.0655,70.7,1984,3.47
AST-BRG-00395,0.0625,79.3,2411,3.55
AST-BRG-00396,0.0647,36.9,1870,2.98
AST-BRG-00397,0.0473,74.5,2466,2.99
AST-BRG-00398,0.0495,66.9,2296,3.29
AST-BRG-00399,0.0789,41.2,3197,3.49
AST-BRG-00400,0.8595,45.4,1300,5.12
AST-BRG-00401,0.0708,69.1,2979,3.12
AST-BRG-00402,0.0555,52.8,1375,3.41
AST-BRG-00403,0.0465,91.3,1437,2.95
AST-BRG-00404,0.2165,84.1,2322,3.56
AST-BRG-00405,0.0465,94.0,3177,3.22
AST-BRG-00406,0.0649,50.6,3203,3.3
AST-BRG-00407,0.0539,93.2,2737,3.37
AST-BRG-00408,1.3231,60.9,1954,6.32
AST-BRG-00409,0.059,55.9,3458,3.32
AST-BRG-00410,0.0731,38.0,2346,3.33
AST-BRG-00411,1.0437,38.2,2611,5.74
AST-BRG-00412,0.0495,76.5,1339,3.31
AST-BRG-00413,0.1771,62.5,1740,3.4
AST-BRG-00414,0.0613,48.6,2614,3.0
AST-BRG-00415,0.055,71.8,1469,3.01
AST-BRG-00416,0.2123,50.2,2235,3.47
AST-BRG-00417,0.0643,69.7,3090,3.26
AST-BRG-00418,0.0796,56.6,1705,3.5
AST-BRG-00419,0.0758,84.4,2329,3.41
AST-BRG-00420,1.5788,84.2,3279,7.22
AST-BRG-00421,0.0738,63.6,3072,3.2
AST-BRG-00422,0.0424,56.0,2292,3.15
AST-BRG-00423,0.0508,56.8,2012,3.16
AST-BRG-00424,0.1243,83.3,1561,3.23
AST-BRG-00425,0.0754,54.7,2656,3.03
AST-BRG-00426,0.0773,47.5,2128,3.35
AST-BRG-00427,0.0437,40.1,1299,3.5
AST-BRG-00428,0.057,63.0,2881,3.04
AST-BRG-00429,0.0444,63.9,3256,2.94
AST-BRG-00430,0.0777,85.5,2252,3.46
AST-BRG-00431,0.0601,48.3,2120,3.1
AST-BRG-00432,0.0456,57.9,1831,3.41
AST-BRG-00433,0.0407,83.5,1881,3.32
AST-BRG-00434,0.069,84.4,3404,3.54
AST-BRG-00435,1.4323,58.1,3582,6.63
AST-BRG-00436,1.0126,62.5,3507,5.73
AST-BRG-00437,0.1206,53.2,3329,3.38
AST-BRG-00438,0.0433,91.0,1953,3.29
AST-BRG-00439,0.0548,42.1,2664,3.21
AST-BRG-00440,0.5302,91.0,1919,4.24
AST-BRG-00441,0.0555,76.0,1274,3.24
AST-BRG-00442,0.5701,66.9,2493,4.54
AST-BRG-00443,0.1505,37.0,3122,3.66
AST-BRG-00444,0.0428,63.5,1261,3.35
AST-BRG-00445,0.0499,59.5,2073,3.32
AST-BRG-00446,0.0514,44.7,1519,3.0
AST-BRG-00447,0.0737,74.4,3349,3.42
AST-BRG-00448,0.047,93.3,2652,3.22
AST-BRG-00449,1.7885,68.7,2073,7.81
AST-BRG-00450,0.0617,77.9,2945,3.51
AST-BRG-00451,0.0579,39.1,3502,2.98
AST-BRG-00452,0.05,60.1,2755,3.42
AST-BRG-00453,0.0665,42.0,1311,2.99
AST-BRG-00454,0.0512,71.8,1660,3.15
AST-BRG-00455,0.0748,91.3,2086,3.31
AST-BRG-00456,0.0689,74.7,2315,3.06
AST-BRG-00457,0.0681,39.6,2275,3.42
AST-BRG-00458,0.0694,56.3,1719,2.98
AST-BRG-00459,0.417,68.0,2011,3.94
AST-BRG-00460,0.0726,59.2,3483,3.33
AST-BRG-00461,0.0566,85.0,3124,3.37
AST-BRG-00462,0.1591,83.9,2804,3.75
AST-BRG-00463,0.0503,71.7,2126,3.35
AST-BRG-00464,0.0627,57.4,1756,3.36
AST-BRG-00465,0.0505,50.3,3481,3.16
AST-BRG-00466,0.158,41.4,2255,3.2
AST-BRG-00467,0.0551,56.3,1778,3.01
AST-BRG-00468,0.9151,59.8,1741,5.41
AST-BRG-00469,0.0788,75.5,3361,3.4
AST-BRG-00470,0.0537,74.5,3451,3.18
AST-BRG-00471,0.0667,39.2,2252,3.41
AST-BRG-00472,0.0417,58.7,1673,3.22
AST-BRG-00473,0.0689,45.9,3500,3.02
AST-BRG-00474,1.0055,44.4,2104,5.43
AST-BRG-00475,0.0498,84.6,3145,3.43
AST-BRG-00476,0.0648,37.5,1585,3.4
AST-BRG-00477,0.6102,60.2,1261,4.86
AST-BRG-00478,0.0432,45.1,1714,2.98
AST-BRG-00479,0.0511,87.8,1629,3.52
AST-BRG-00480,0.0435,68.4,1779,3.03
AST-BRG-00481,0.0491,48.9,2760,2.93
AST-BRG-00482,0.0647,65.1,2364,3.56
AST-BRG-00483,0.0597,78.9,2523,3.12
AST-BRG-00484,0.0417,92.5,3558,3.31
AST-BRG-00485,0.0552,48.2,1670,3.04
AST-BRG-00486,0.0648,88.2,2616,3.31
AST-BRG-00487,0.0435,91.1,2865,3.45
AST-BRG-00488,1.7785,90.0,2668,7.44
AST-BRG-00489,0.078,73.1,2008,3.4
AST-BRG-00490,0.2078,72.8,1371,3.43
AST-BRG-00491,0.0415,59.2,1230,3.28
AST-BRG-00492,0.0484,80.1,1246,3.12
AST-BRG-00493,0.0473,66.9,1329,3.04
AST-BRG-00494,1.7203,75.6,3599,7.29
AST-BRG-00495,0.0447,60.7,2177,3.02
AST-BRG-00496,0.0608,78.9,2845,3.49
AST-BRG-00497,0.0426,84.5,2804,3.14
AST-BRG-00498,0.0652,43.8,1257,3.11
AST-BRG-00499,1.3103,85.0,2329,6.34
AST-BRG-00500,0.0473,67.4,2553,3.11
AST-BRG-00501,0.072,85.7,1967,3.43
AST-BRG-00502,0.0441,60.9,1882,3.49
AST-BRG-00503,0.0535,57.7,3208,3.2
AST-BRG-00504,0.0664,89.9,3533,3.48
AST-BRG-00505,0.1412,50.1,2990,3.49
AST-BRG-00506,0.0747,85.7,2677,3.08
AST-BRG-00507,0.0718,64.0,2085,3.39
AST-BRG-00508,0.07,65.8,1596,3.28
AST-BRG-00509,0.058,53.5,2738,3.34
AST-BRG-00510,0.0704,69.4,3273,3.51
AST-BRG-00511,0.0617,54.5,1512,3.22
AST-BRG-00512,0.0427,37.4,3373,3.45
AST-BRG-00513,0.2137,51.3,2788,3.78
AST-BRG-00514,0.0702,35.4,2421,3.27
AST-BRG-00515,0.0601,93.7,2010,3.31
AST-BRG-00516,0.0516,92.9,3435,3.12
AST-BRG-00517,0.1248,58.7,3232,3.7
AST-BRG-00518,1.7393,78.7,2707,7.55
AST-BRG-00519,0.2119,55.7,1649,3.36
AST-BRG-00520,0.0785,75.3,3094,3.19
AST-BRG-00521,0.0682,83.3,2577,3.34
AST-BRG-00522,0.0662,91.8,1796,3.0
AST-BRG-00523,0.0456,59.0,3347,2.93
AST-BRG-00524,0.0734,82.0,1815,3.25
AST-BRG-00525,0.0485,51.0,2147,3.12
AST-BRG-00526,0.0665,94.4,2781,3.23
AST-BRG-00527,0.0559,36.5,1755,3.1
AST-BRG-00528,1.5201,71.2,1477,6.7
AST-BRG-00529,0.0749,74.6,3213,3.4
AST-BRG-00530,0.0759,76.3,1690,3.3
AST-BRG-00531,1.1849,42.2,1454,5.88
AST-BRG-00532,1.4701,91.3,2091,6.67
AST-BRG-00533,0.1652,45.9,1741,3.57
AST-BRG-00534,0.0771,72.4,2487,3.04
AST-BRG-00535,0.0504,48.4,2833,3.01
AST-BRG-00536,0.0688,53.4,2024,3.02
AST-BRG-00537,0.0721,67.8,2552,3.47
