vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
ARMOR-BATCH-00031,301.02325238511617,308.07564482445724,2535,76.61534276454205,131
ARMOR-BATCH-00032,296.4916243125905,312.6431174723681,2553,22.565833848603667,118
ARMOR-BATCH-00033,299.2316625022198,311.44958614129183,1553,37.6925479748347,41
ARMOR-BATCH-00034,303.4411196561336,317.67567563807756,1563,48.80654173866833,183
ARMOR-BATCH-00035,301.6606475839152,312.73339499393325,2227,67.19469499803114,143
ARMOR-BATCH-00036,301.3063262647149,306.6014146629805,1493,45.41266657280197,111
ARMOR-BATCH-00037,302.7812493380559,317.14128696400644,1235,32.20530567386477,227
ARMOR-BATCH-00038,295.33191217136283,317.8285385802355,2644,34.639779629659806,202
ARMOR-BATCH-00039,301.9014149809539,306.81274636164295,2145,38.711501643218455,7
ARMOR-BATCH-00040,295.7788821662059,316.7299746098304,1773,51.0389115993742,205
ARMOR-BATCH-00041,300.8934489881103,315.97729952202565,1361,43.779557414192595,236
ARMOR-BATCH-00042,298.3023812665857,316.0779043176825,2704,35.49133346834611,123
ARMOR-BATCH-00043,304.94563673195336,308.7817192956646,1738,56.069955644594344,78
ARMOR-BATCH-00044,303.5862102565661,308.6840944711884,2067,22.0111463024703,246
ARMOR-BATCH-00045,298.2506963531732,310.9916843441809,1684,80.57763191899578,67
ARMOR-BATCH-00046,305.29431181234736,312.873772850922,1510,43.047722315616156,153
ARMOR-BATCH-00047,304.8837173626108,311.5913141892233,2742,23.291239653662902,32
ARMOR-BATCH-00048,295.7395342653291,307.2755856169124,2428,29.468833613557337,191
ARMOR-BATCH-00049,307.2064201458177,306.1181257177832,1313,64.70909571437178,124
ARMOR-BATCH-00050,303.55549195877734,317.92177690914934,1254,54.10338920891079,241
ARMOR-BATCH-00051,300.29704166106654,316.079333097296,1376,51.10499655444733,117
ARMOR-BATCH-00052,304.8298030494859,311.568571686759,2620,27.52580473039959,177
ARMOR-BATCH-00053,302.2715344577366,315.43031281418445,2277,57.0896654368793,235
ARMOR-BATCH-00054,296.6724755687341,309.40608344165963,1785,48.675943808164156,108
ARMOR-BATCH-00055,304.27136186344524,315.061202991063,2432,54.794241820277776,176
ARMOR-BATCH-00056,305.35755794351417,307.99751558691503,1838,30.97474626845461,1
ARMOR-BATCH-00057,306.1003401257661,312.8475275569921,1524,22.575294098413114,50
ARMOR-BATCH-00058,304.22526808086224,315.92893782625526,1544,37.138740107720864,159
ARMOR-BATCH-00059,297.41851818661064,305.8715002213503,1590,19.037611864049545,198
ARMOR-BATCH-00060,298.35559097026163,314.8988977917969,1950,23.00582822810908,33
ARMOR-BATCH-00061,307.1250761177429,314.01352826549396,1278,42.88757559800639,22
ARMOR-BATCH-00062,296.94030441932534,315.96600191940473,2432,58.84828996681648,229
ARMOR-BATCH-00063,295.3095738877711,312.59949829981866,2584,58.19139328116841,138
ARMOR-BATCH-00064,300.34465160519676,311.84422577794066,1736,60.605437832548105,59
ARMOR-BATCH-00065,302.75556948915613,312.1469592736712,1615,19.564789204134087,239
ARMOR-BATCH-00066,298.3717060696592,317.2030355273494,1837,76.24194783579844,91
ARMOR-BATCH-00067,298.22597920422197,307.9418872761087,2691,16.411683469832195,24
ARMOR-BATCH-00068,302.130778130737,305.98744776350287,1764,75.68957990565073,13
ARMOR-BATCH-00069,295.4423226077368,314.78211397766717,1586,75.07428402467399,10
ARMOR-BATCH-00070,302.2698763848231,313.1554332951525,1471,52.119299312932085,215
ARMOR-BATCH-00071,296.0781234499203,306.52576906578724,1213,84.97532315758627,3
ARMOR-BATCH-00072,305.30134821873304,317.97741489647626,2261,28.929543632017072,106
ARMOR-BATCH-00073,301.47372121944977,312.5945801029756,1514,46.62476033982341,234
ARMOR-BATCH-00074,302.677795979291,305.0630168688099,1737,34.070923978932,137
ARMOR-BATCH-00075,306.4394303025967,308.40373082027014,1614,61.551959277807086,237
ARMOR-BATCH-00076,307.0820824446776,313.09701069612396,1356,48.48544741198662,43
ARMOR-BATCH-00077,303.7177588808958,310.74342762443393,2747,74.48248041080126,232
ARMOR-BATCH-00078,301.9828692081387,306.4497786725284,1513,74.11963684021302,111
ARMOR-BATCH-00079,295.4883682032435,313.78831083036494,1407,56.27888203796118,109
ARMOR-BATCH-00080,305.63767338966204,315.2909220435277,1609,20.880728567897236,239
ARMOR-BATCH-00081,302.0909645051211,311.95635752327314,1429,33.357429286733975,238
ARMOR-BATCH-00082,302.5789041750332,308.9781292831762,2454,18.369501846416043,99
ARMOR-BATCH-00083,299.7823971830534,309.3868500583325,2728,70.57440415029004,34
ARMOR-BATCH-00084,304.1972016379973,309.94887746282257,2430,59.430197331543404,248
ARMOR-BATCH-00085,307.1533036172358,316.10016125089123,2172,49.18269508059377,4
ARMOR-BATCH-00086,302.06495295344683,306.2324439179964,2424,30.85744564053266,73
ARMOR-BATCH-00087,301.95971246172365,315.4281475513421,1687,21.27263909319196,137
ARMOR-BATCH-00088,295.63157585515495,306.7022286893739,2374,65.56835236507337,207
ARMOR-BATCH-00089,303.8661129377263,314.6907911567623,2476,52.47273683293846,95
ARMOR-BATCH-00090,295.008438140453,312.1924471343867,2324,52.0280416614959,191
ARMOR-BATCH-00091,304.8898495665074,316.4815891846272,2454,59.69032522093801,197
ARMOR-BATCH-00092,299.35526228013003,306.6932109773766,2521,63.6992903321954,216
ARMOR-BATCH-00093,307.44858049444883,307.4278828978246,1799,24.369878426482952,64
ARMOR-BATCH-00094,295.44590627880297,306.2915073673013,2146,44.68486041089026,155
ARMOR-BATCH-00095,297.33302792648306,305.601438003286,2528,20.681243372289195,86
ARMOR-BATCH-00096,307.69413165914926,307.09671009008827,1995,72.21829766034192,145
ARMOR-BATCH-00097,299.73202165956354,315.01239359301746,2682,41.60227448577747,143
ARMOR-BATCH-00098,302.9765610049134,310.7480297246995,1638,54.10513648721343,68
ARMOR-BATCH-00099,307.76139565969794,315.4197808955695,2391,71.238807970647,181
ARMOR-BATCH-00100,302.7788802712146,316.32969744712085,1718,51.23727215796491,223
ARMOR-BATCH-00101,300.95980484388895,313.39315571951227,1599,17.876608399021208,210
ARMOR-BATCH-00102,306.649031037656,315.89552546825973,1828,20.891356469662103,148
ARMOR-BATCH-00103,302.43163751929296,307.42191034326595,1353,51.40061325282787,114
ARMOR-BATCH-00104,302.31640330672695,309.1767620846407,2439,44.758883821785545,89
ARMOR-BATCH-00105,300.26467603213433,311.1701142375492,2613,47.08431860109073,201
ARMOR-BATCH-00106,307.94613422933355,305.2083853129021,2784,66.60112502233824,90
ARMOR-BATCH-00107,300.2067713015495,317.1990108353437,1353,17.30300845595733,132
ARMOR-BATCH-00108,295.9490423637892,317.89780548729186,2011,23.769094076772827,10
ARMOR-BATCH-00109,304.33503030433803,313.6881484554536,2139,30.30833198354694,239
ARMOR-BATCH-00110,305.0041501393763,316.09548869194543,1629,52.050742545755,203
ARMOR-BATCH-00111,297.3614069893154,309.39940660698534,1712,41.36119663094341,133
ARMOR-BATCH-00112,303.697809076134,305.9424011612146,1519,46.46908061547124,115
ARMOR-BATCH-00113,303.22083739455513,316.10910997210993,2749,37.739119173598226,235
ARMOR-BATCH-00114,305.28897707605915,309.18010048580607,2064,43.97575564979504,132
ARMOR-BATCH-00115,296.9361020394175,308.5149262790099,1282,20.405909325619174,150
ARMOR-BATCH-00116,300.00273993909235,306.58037706752185,1895,64.07739887084733,152
ARMOR-BATCH-00117,299.2909955801136,317.7235955839233,1871,26.396716955625436,249
ARMOR-BATCH-00118,297.7367924674789,306.6069174435715,1557,82.97012370670068,92
ARMOR-BATCH-00119,298.43638207347243,314.8163308654715,2000,32.79991502489923,40
ARMOR-BATCH-00120,299.4155904464658,313.91190429980986,1435,28.71285343136313,29
ARMOR-BATCH-00121,302.83093504823364,315.18070354502544,2207,36.24209446047319,175
ARMOR-BATCH-00122,303.6946666282786,313.21160949940867,1734,37.59362637763296,163
ARMOR-BATCH-00123,295.2905401432815,311.51217207957933,1314,38.33468504549212,74
ARMOR-BATCH-00124,303.9518103843726,308.88712012886265,1238,35.45385018589616,108
ARMOR-BATCH-00125,297.30599560359724,317.10330324135066,1717,24.76742867597252,124
ARMOR-BATCH-00126,306.1705791286331,313.71978861609324,1267,15.846336636209381,147
ARMOR-BATCH-00127,297.3856828536976,307.34985856130413,1662,39.225456887635474,236
ARMOR-BATCH-00128,297.1531734525649,310.4201489976064,1422,62.74732915696217,78
ARMOR-BATCH-00129,297.9229580731801,317.8033208971655,2152,45.555858104185575,113
ARMOR-BATCH-00130,301.47746885989073,311.79461570552706,2085,34.056802125343836,67
ARMOR-BATCH-00131,301.39874334739375,311.23176036454333,2188,24.8799191890926,242
ARMOR-BATCH-00132,295.4637815689269,307.039571372355,2135,29.14436197932323,224
ARMOR-BATCH-00133,300.18016149634053,312.2326797065135,2174,47.04381785498549,58
ARMOR-BATCH-00134,297.2287107720853,307.62677923903397,2195,22.66025405690231,122
ARMOR-BATCH-00135,305.9175827926755,316.8446399097309,2369,84.256549588505,242
ARMOR-BATCH-00136,295.4079134572176,313.25562018779505,1638,15.46003480376785,221
ARMOR-BATCH-00137,300.7989810277199,315.56215234762897,2670,69.03899257191736,85
ARMOR-BATCH-00138,299.212531201639,316.1046880511572,1598,50.068059919328185,84
ARMOR-BATCH-00139,298.27349305630815,305.23770405034924,1310,40.173483059251,147
ARMOR-BATCH-00140,298.0072719185811,314.1482823930701,1805,50.53252930682617,170
ARMOR-BATCH-00141,300.7188948445864,305.9325819125904,2456,32.55201866393993,223
ARMOR-BATCH-00142,304.86195070796765,307.3427457380528,2294,69.88111155710274,225
ARMOR-BATCH-00143,299.7363831581446,307.67669622110645,1324,77.28609009293726,30
ARMOR-BATCH-00144,301.6976940634314,306.40981234518745,2552,68.38553990417712,127
ARMOR-BATCH-00145,307.48882608823425,315.19813402388417,1258,27.133991921283073,210
ARMOR-BATCH-00146,302.2907493934477,317.50531601548926,1572,29.710166591511932,212
ARMOR-BATCH-00147,303.2971131043822,316.4739514829304,2238,67.65111838490253,99
ARMOR-BATCH-00148,297.0968021942817,312.9195072525884,1276,41.65016387667585,58
ARMOR-BATCH-00149,306.89248792311685,314.8201425138822,1468,27.7599039952988,8
ARMOR-BATCH-00150,306.4893811511502,311.51767417688455,2443,58.91663801531683,22
ARMOR-BATCH-00151,301.1036322158836,309.76943855795423,2225,79.41199163829224,200
ARMOR-BATCH-00152,296.6877477538662,305.2350748728864,2628,44.57467541402306,133
ARMOR-BATCH-00153,297.55422778057186,315.2445037908881,1685,32.9008594898788,82
ARMOR-BATCH-00154,306.2363874785637,313.42677334147555,2110,16.707742517719918,119
ARMOR-BATCH-00155,307.0093372832466,316.4702043725608,2737,33.4289546194903,136
ARMOR-BATCH-00156,303.53351836314414,313.6833044248012,1925,72.7391461053077,170
ARMOR-BATCH-00157,296.8326215733842,314.44672757781655,1899,29.115042866101795,100
ARMOR-BATCH-00158,297.73416143558995,311.1791550293215,1998,76.76254381079039,134
ARMOR-BATCH-00159,303.6952256433062,313.3453131707735,2314,38.04025070689494,227
ARMOR-BATCH-00160,301.6714781501875,310.958107411643,1779,27.768429883152038,237
ARMOR-BATCH-00161,295.3239448950387,317.9875131048713,1958,51.61516930046932,106
ARMOR-BATCH-00162,298.5434417825997,306.11752506657047,1403,73.63087658694302,144
ARMOR-BATCH-00163,307.10085811934925,311.9842843628515,2751,59.2633432011407,125
ARMOR-BATCH-00164,298.9517613010765,311.76929939499456,1706,79.8997944959839,103
ARMOR-BATCH-00165,306.96473264028344,305.30154457575725,2182,80.36091194780373,86
ARMOR-BATCH-00166,297.108955175159,311.6552940754261,1725,74.6590404235739,74
ARMOR-BATCH-00167,305.7959887181145,317.37010918457935,1450,21.997902404314964,185
ARMOR-BATCH-00168,306.83022264891633,307.02967586855664,1894,23.42114257074901,2
ARMOR-BATCH-00169,300.07822964318257,307.08473066397164,1721,40.171961903802796,60
ARMOR-BATCH-00170,305.14250398596266,310.7429413621386,1641,81.30717425698998,242
ARMOR-BATCH-00171,296.2694539671021,312.2521876090928,1714,32.08641334915306,67
ARMOR-BATCH-00172,301.2854407181956,315.8081059741379,2141,45.86801703815414,37
ARMOR-BATCH-00173,297.4092775863813,313.4379507738934,1705,56.86386995477741,41
ARMOR-BATCH-00174,306.7238682199917,307.8290325414436,1963,31.968089646758713,3
ARMOR-BATCH-00175,295.5629874519274,308.2527171467705,2598,38.237611875922155,90
ARMOR-BATCH-00176,304.36479438478136,307.565611988648,2044,29.653989996536104,75
ARMOR-BATCH-00177,299.8262308192203,305.9592257428008,1869,66.40442691317264,56
ARMOR-BATCH-00178,306.5205204292454,317.92536458859655,1735,39.46045573878195,121
ARMOR-BATCH-00179,305.3109821638995,308.93681557717616,1569,55.572332504713515,175
ARMOR-BATCH-00180,303.0310194481635,317.10824666424156,2705,18.691580777973034,211
ARMOR-BATCH-00181,300.3052618249265,317.5282642554503,2107,62.269392494033234,229
ARMOR-BATCH-00182,298.55968170012676,313.46636058774936,2417,76.2636510256781,227
ARMOR-BATCH-00183,299.1464875486916,305.8143465447697,2768,61.916292670453366,17
ARMOR-BATCH-00184,297.5641642591144,308.47289455080397,2627,74.68099914872008,148
ARMOR-BATCH-00185,295.41451850389814,314.3822191761767,1539,16.829903556553184,117
ARMOR-BATCH-00186,299.3352249771678,305.51329487185694,1795,37.09926587490425,43
ARMOR-BATCH-00187,299.1016105565252,311.7700816096895,1335,72.89662886405411,211
ARMOR-BATCH-00188,307.3938714454529,306.35884058887007,2635,19.843680799498507,11
ARMOR-BATCH-00189,296.4771656654556,310.9489791065417,1727,71.1162915419626,8
ARMOR-BATCH-00190,301.96792066328504,316.0446514991881,2348,59.48377691911385,91
ARMOR-BATCH-00191,298.9071082729032,313.08235041268415,2794,82.66366427213258,202
ARMOR-BATCH-00192,298.34872353306616,309.5756436143012,1499,75.84661095071212,8
ARMOR-BATCH-00193,307.28372455645876,308.59518842137476,2518,75.40260547042243,118
ARMOR-BATCH-00194,305.7556863372068,308.13487999030224,1979,30.13542065119683,184
ARMOR-BATCH-00195,298.4353775738133,314.9141746051267,1451,26.494291535227944,112
ARMOR-BATCH-00196,300.1811856362859,306.9595297272474,1634,54.825409863821946,41
ARMOR-BATCH-00197,301.1741477717981,312.60050642803566,2316,79.1657387881581,249
ARMOR-BATCH-00198,304.07704530287094,307.4341090597961,2175,52.41373164611096,117
ARMOR-BATCH-00199,303.5842986563691,305.3807251020998,1294,46.50250654711826,13
ARMOR-BATCH-00200,305.9723642528291,305.1434344004283,1681,36.29738393279594,232
ARMOR-BATCH-00201,300.2100216085099,309.16679288100863,1692,79.98892274509043,55
ARMOR-BATCH-00202,299.29045185159976,315.04699971365665,1942,83.06942002988295,16
ARMOR-BATCH-00203,301.2521958879363,310.33799811857466,1980,46.13560899085491,189
ARMOR-BATCH-00204,304.8799662384174,317.35501946234007,1774,75.43899771046529,171
ARMOR-BATCH-00205,296.22119146544634,310.20847042700643,2388,81.90740380603424,119
ARMOR-BATCH-00206,306.60553888745983,308.4750611946988,1368,70.9075185968587,151
ARMOR-BATCH-00207,299.78465850812466,305.03857077801644,1283,68.1999021518709,205
ARMOR-BATCH-00208,296.35272661583247,310.9809768087573,1546,60.34604026674579,19
ARMOR-BATCH-00209,295.95950761805904,308.56924739973914,2248,38.26868706193224,191
ARMOR-BATCH-00210,301.32283326816173,308.64930979633976,1384,36.16753723438437,11
ARMOR-BATCH-00211,301.4612071916605,317.2803152781962,1686,76.12146060768752,33
ARMOR-BATCH-00212,302.5017445267612,314.3543671881071,2407,29.554395730377344,56
ARMOR-BATCH-00213,301.29096831913995,313.79252093478334,1641,45.014100027946384,185
ARMOR-BATCH-00214,301.9977836639129,313.8509751006831,1275,20.09605391495949,136
ARMOR-BATCH-00215,302.9906005031428,314.95392423859994,1264,28.043145674982018,184
ARMOR-BATCH-00216,304.40699386600414,315.75546281800047,1508,22.674299171994445,202
ARMOR-BATCH-00217,297.46384709337724,315.2474472016752,1694,54.73937897047921,154
ARMOR-BATCH-00218,297.884393186898,308.6367916532043,1997,26.041591106606095,222
ARMOR-BATCH-00219,296.0599308507915,310.693931205812,2349,71.36238032705,63
ARMOR-BATCH-00220,305.9791849028202,308.9072329969361,1506,24.92288086460853,172
ARMOR-BATCH-00221,299.8035170733535,305.4499507046264,2506,19.78896823899595,59
ARMOR-BATCH-00222,299.9740193210137,315.5240340353308,2645,66.71193353223478,7
ARMOR-BATCH-00223,302.9339729312283,312.50552771367956,1654,56.79053091545015,104
ARMOR-BATCH-00224,301.2907355927433,305.0823988966117,2168,46.17267345623954,110
ARMOR-BATCH-00225,297.10644981613086,317.0211836704366,2394,29.051611794719015,95
ARMOR-BATCH-00226,305.8962796819403,310.44466481305557,2335,47.178504280284216,53
ARMOR-BATCH-00227,297.21659146593856,307.85407099476987,2535,51.82432567045083,197
ARMOR-BATCH-00228,299.2496863821549,307.2495176698364,1673,46.82021271908708,138
ARMOR-BATCH-00229,296.4825543056006,307.1789006676855,2376,30.02395721562545,80
ARMOR-BATCH-00230,301.8732982867428,306.5395892515456,2379,70.4624741306537,116
ARMOR-BATCH-00231,298.89107710562604,315.2858806558123,1993,68.53828751929842,41
ARMOR-BATCH-00232,297.73506400195623,312.66771533976464,2567,42.54844589107347,167
ARMOR-BATCH-00233,299.46495972406893,310.02326577404926,2675,59.45768203216822,234
ARMOR-BATCH-00234,302.0787676067545,313.0358045877548,1739,31.719657402710776,155
ARMOR-BATCH-00235,307.8059009786825,312.67697965231105,1703,38.234575156526454,86
ARMOR-BATCH-00236,298.35828142600667,316.18977564639926,2763,66.85499201637091,234
ARMOR-BATCH-00237,303.45389559273707,310.915860627127,1913,20.22220283020936,24
ARMOR-BATCH-00238,300.3859038037599,308.0563608381317,2216,70.75968916234018,28
ARMOR-BATCH-00239,300.17996239036506,313.5469095868055,1645,64.95373876308008,199
ARMOR-BATCH-00240,306.60624197862523,317.5110401135295,2043,76.6763303473507,106
ARMOR-BATCH-00241,303.861398226052,315.6764821523587,2601,77.65465189482029,60
ARMOR-BATCH-00242,307.4100282612946,312.91150653246274,1913,44.37885583552337,106
ARMOR-BATCH-00243,297.8443103613576,305.7727726943611,2720,50.69988897687791,15
ARMOR-BATCH-00244,302.8174792953718,309.468153520749,1282,43.07678501905195,27
ARMOR-BATCH-00245,304.3345710214678,316.0283322697419,1926,45.365091407666554,157
ARMOR-BATCH-00246,301.18118376629707,305.93625819486334,1829,78.06800832465612,124
ARMOR-BATCH-00247,303.89525537459093,312.06845440562455,1857,33.35393030164521,224
ARMOR-BATCH-00248,304.59812065374126,306.5702064140639,1774,46.150073448553904,187
ARMOR-BATCH-00249,304.823953162321,315.60895755310116,2286,56.3703095580822,188
ARMOR-BATCH-00250,303.4646192755262,306.4109918528693,2066,25.337081258337392,220
ARMOR-BATCH-00251,295.89133116132325,316.45532911341263,1877,22.493234825634175,167
ARMOR-BATCH-00252,300.6515260578582,306.00597756673324,1432,24.318110048039056,165
ARMOR-BATCH-00253,302.78394980304296,317.96308358461135,1526,75.60235491541724,0
ARMOR-BATCH-00254,300.46174838047875,315.0317276473546,2691,82.61371936670832,180
ARMOR-BATCH-00255,300.9971896740978,316.8486981937335,1391,57.755913213547615,9
ARMOR-BATCH-00256,299.69253833093137,317.4929250015758,2440,82.37576190736523,76
ARMOR-BATCH-00257,299.5026211744839,305.09623301814963,2405,74.642484655093,38
ARMOR-BATCH-00258,304.9817398219297,307.8139902136981,2131,77.40289639634682,95
ARMOR-BATCH-00259,301.8479666131035,311.46216566478074,2307,27.44492330854598,38
ARMOR-BATCH-00260,305.8773840415624,315.3189243688095,1695,17.69144736229936,80
ARMOR-BATCH-00261,306.27829498092495,311.23935061780816,1871,32.37219931698929,51
ARMOR-BATCH-00262,304.4621337102172,308.4123382260736,1377,62.638538943676025,208
ARMOR-BATCH-00263,301.51988678604863,313.9800870644007,2334,76.049215275676,192
ARMOR-BATCH-00264,298.19235008960453,313.96545880718196,1420,77.40900042405073,243
ARMOR-BATCH-00265,295.2224327736126,309.7559110324701,2194,75.39970960429227,13
ARMOR-BATCH-00266,303.3286472486425,305.09876674624195,2472,70.58087173157324,183
ARMOR-BATCH-00267,307.29789181737806,317.2176231924474,1439,56.32351477888198,94
ARMOR-BATCH-00268,295.75040541663265,315.2686270239289,2211,45.9418505027176,190
ARMOR-BATCH-00269,303.535585306336,307.9294998080959,2591,79.67916244853588,187
ARMOR-BATCH-00270,306.52787110050457,316.03256748293074,1457,31.411503573712587,17
ARMOR-BATCH-00271,301.55639959598415,317.10376620322825,2799,51.30390462150435,35
ARMOR-BATCH-00272,305.78354683774444,313.31574727497315,2430,18.896003449511113,236
ARMOR-BATCH-00273,295.8663368572549,305.8232731083012,1629,72.6376254973465,239
ARMOR-BATCH-00274,301.89927620516977,313.8962566264329,2730,47.88082997961265,143
ARMOR-BATCH-00275,299.7752800930349,316.24370394568996,1624,37.100827572107114,39
ARMOR-BATCH-00276,303.26517532415426,315.097464685797,2076,53.040381916439074,164
ARMOR-BATCH-00277,305.3605032285167,315.8317084609843,1414,18.683345170265174,51
ARMOR-BATCH-00278,300.0112396929566,317.8467864330283,1961,42.42695891418465,202
ARMOR-BATCH-00279,305.84407686710887,307.98668440306125,1540,40.746429838757564,93
ARMOR-BATCH-00280,302.5373803936181,305.35132543389346,2696,15.457916450268634,140
ARMOR-BATCH-00281,297.77089086656287,307.81032435858026,1289,36.846325887742935,163
ARMOR-BATCH-00282,300.2576635695883,315.6260368456882,2449,32.11373481144241,110
ARMOR-BATCH-00283,304.9422783367377,310.9034878763354,2797,64.70204768885597,199
ARMOR-BATCH-00284,298.1007150814977,305.32052865328325,1758,69.89411238990009,213
ARMOR-BATCH-00285,296.91479939157415,313.81372230871466,1775,25.547092522889287,245
ARMOR-BATCH-00286,297.11055796815776,305.19239759149707,1394,80.05806683388704,233
ARMOR-BATCH-00287,298.45669874109683,308.669232628429,2096,56.970013991711674,140
ARMOR-BATCH-00288,300.6639898566202,317.93629349229076,2062,40.43742841805245,51
ARMOR-BATCH-00289,302.0858445559046,314.99445506789505,1460,22.13712583035249,131
ARMOR-BATCH-00290,304.90969545297463,315.7644861332559,2605,59.20240764075257,134
ARMOR-BATCH-00291,299.2205333523096,308.0594406602732,2500,72.36343640141106,196
ARMOR-BATCH-00292,295.398164851413,312.31943480312884,2409,42.80943236154525,235
ARMOR-BATCH-00293,306.92090373691184,307.1254937360898,2231,80.81834771798427,201
ARMOR-BATCH-00294,299.83126103268506,313.50533591540875,1950,18.412417057250295,230
ARMOR-BATCH-00295,305.61905700005616,314.8506532896619,1977,21.08215406601569,216
ARMOR-BATCH-00296,295.5595617997427,313.32248417156325,2632,55.79499917881376,168
ARMOR-BATCH-00297,302.45497088047335,308.63637771438107,2566,71.88284976036887,1
ARMOR-BATCH-00298,306.41961877876173,309.9009512201648,1725,43.98717926986917,77
ARMOR-BATCH-00299,305.62522056548744,317.9827249722844,1918,37.24515912624538,85
ARMOR-BATCH-00300,303.5334390288042,317.9316841440232,1309,84.28482574782288,240
ARMOR-BATCH-00301,300.25855077787935,315.1979886782378,2740,53.729327436014415,71
ARMOR-BATCH-00302,305.9246191719035,314.87076827619615,2384,52.41633472634241,109
ARMOR-BATCH-00303,301.5742954101262,306.1498066025083,2101,45.728242385660195,240
ARMOR-BATCH-00304,297.00587468565345,307.14355726194646,1656,66.49565126871707,213
ARMOR-BATCH-00305,298.30408239208435,312.06706025012977,1766,42.413192690675885,33
ARMOR-BATCH-00306,296.71384937656643,312.36106641983827,2555,51.310392710263095,78
ARMOR-BATCH-00307,298.8318008588869,317.66158995505725,1564,41.29980733590333,81
ARMOR-BATCH-00308,300.75690512016325,309.4626417224253,1609,68.62468946917946,123
ARMOR-BATCH-00309,296.2013547136797,317.33573006346,2223,23.94544436143905,248
ARMOR-BATCH-00310,300.7748455947347,307.89326270890933,2133,43.50973578276229,127
ARMOR-BATCH-00311,296.67437844253374,306.7810320211605,1450,67.2986381109283,106
ARMOR-BATCH-00312,305.1842485426252,316.1901594823694,2593,69.0511730374589,232
ARMOR-BATCH-00313,301.3595159836431,317.98460053374424,1775,17.15613496398268,187
ARMOR-BATCH-00314,301.12964439268137,316.3831382010733,1964,30.296639364925547,169
ARMOR-BATCH-00315,306.61471708533657,314.3766571918984,1664,66.36814049495644,128
ARMOR-BATCH-00316,298.276086528374,311.14517240263496,1270,25.53275679707768,218
ARMOR-BATCH-00317,299.19811404320444,307.37439755465635,1522,51.48083799161654,222
ARMOR-BATCH-00318,303.4563689250247,317.2151191723048,2690,28.808208614604375,188
ARMOR-BATCH-00319,296.50024387165934,307.0426461263993,1248,22.594540366319162,225
ARMOR-BATCH-00320,304.93544500167013,308.8464454529918,1476,26.595249259713256,120
ARMOR-BATCH-00321,306.1340731332227,305.1882538464008,2107,46.55181537533352,27
ARMOR-BATCH-00322,296.7016027461792,307.5495621416975,1588,47.17177633226853,157
ARMOR-BATCH-00323,299.1946232648991,313.3472476457204,2691,65.50758387530574,36
