asset_id,platform_type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],vibration_g_rms,kurtosis,hydraulic_pressure_psi
DEF-00080,K9 Vajra Howitzer,304.0,317.4,2513,45.0,156,0.1675,3.66,210
DEF-00081,BMP-2 Sarath ICV,295.9,309.2,2735,52.3,100,0.0714,3.3,162
DEF-00082,Arjun Mk-II MBT,310.4,318.8,2788,31.8,36,0.0686,3.2,157
DEF-00083,K9 Vajra Howitzer,299.3,313.2,1740,24.5,233,0.0435,3.05,208
DEF-00084,T-90 Bhishma MBT,309.0,317.6,1810,50.5,151,0.0324,3.23,187
DEF-00085,Su-30MKI Fighter,309.7,318.6,2137,40.0,225,0.0337,3.1,194
DEF-00086,T-90 Bhishma MBT,310.4,321.0,2440,61.6,189,0.0678,3.08,166
DEF-00087,Su-30MKI Fighter,310.7,320.1,2149,20.3,118,0.188,3.57,175
DEF-00088,K9 Vajra Howitzer,294.1,306.9,1859,48.7,120,0.0558,3.03,146
DEF-00089,K9 Vajra Howitzer,311.6,321.4,1284,53.9,170,1.423,7.69,178
DEF-00090,Su-30MKI Fighter,309.0,320.1,1890,53.6,62,0.1707,3.17,178
DEF-00091,BMP-2 Sarath ICV,297.8,310.2,1143,85.1,6,0.6568,5.14,168
DEF-00092,Su-30MKI Fighter,299.7,309.2,1757,77.8,179,0.0303,3.11,151
DEF-00093,BMP-2 Sarath ICV,307.4,315.6,1948,38.6,239,0.0773,3.44,179
DEF-00094,Arjun Mk-II MBT,305.5,320.5,2407,62.3,52,0.0727,2.93,194
DEF-00095,Su-30MKI Fighter,309.6,320.5,2259,75.4,177,0.105,3.48,158
DEF-00096,K9 Vajra Howitzer,296.6,308.9,1256,70.5,214,1.0068,6.15,171
DEF-00097,BMP-2 Sarath ICV,304.9,313.1,2618,22.9,190,0.043,2.92,169
DEF-00098,Arjun Mk-II MBT,305.8,314.4,2802,65.5,84,0.6538,5.17,176
DEF-00099,Su-30MKI Fighter,305.5,319.7,2359,54.0,230,0.0511,2.97,179
DEF-00100,K9 Vajra Howitzer,304.6,317.1,2465,63.2,82,0.186,3.47,177
DEF-00101,K9 Vajra Howitzer,298.5,309.1,1260,72.8,78,0.1416,3.32,151
DEF-00102,Su-30MKI Fighter,302.5,316.3,1126,86.0,53,0.0574,3.13,154
DEF-00103,Su-30MKI Fighter,302.6,312.5,2866,25.1,202,0.1506,3.42,167
DEF-00104,Arjun Mk-II MBT,303.5,313.1,2039,50.3,20,0.0393,3.28,158
DEF-00105,Arjun Mk-II MBT,308.6,321.9,1481,68.3,116,0.956,5.78,148
DEF-00106,BMP-2 Sarath ICV,304.8,316.8,2809,53.3,241,0.0463,3.26,204
DEF-00107,Su-30MKI Fighter,299.5,312.5,2464,37.1,118,0.1438,3.39,195
DEF-00108,T-90 Bhishma MBT,295.1,304.7,2084,12.5,85,0.3807,4.16,204
DEF-00109,Arjun Mk-II MBT,311.9,326.6,2132,38.9,199,0.0746,3.3,190
DEF-00110,K9 Vajra Howitzer,301.9,312.0,1915,58.6,185,0.0656,3.15,216
DEF-00111,Arjun Mk-II MBT,310.2,322.7,2823,57.5,163,0.0321,3.05,190
DEF-00112,T-90 Bhishma MBT,298.5,307.7,2114,28.9,96,0.0684,2.9,209
DEF-00113,K9 Vajra Howitzer,302.0,313.7,2174,15.3,5,0.0776,3.0,213
DEF-00114,T-90 Bhishma MBT,303.6,315.1,1652,68.1,241,0.0508,2.86,178
DEF-00115,K9 Vajra Howitzer,303.4,315.6,2751,34.5,129,0.0454,3.24,151
DEF-00116,K9 Vajra Howitzer,309.3,319.5,2035,28.7,141,0.0599,3.06,178
DEF-00117,BMP-2 Sarath ICV,296.9,307.9,2777,25.6,184,0.1107,3.44,153
DEF-00118,K9 Vajra Howitzer,301.9,313.8,1950,24.8,145,0.0456,3.1,201
DEF-00119,Su-30MKI Fighter,299.4,311.6,2409,86.2,117,0.0396,2.79,159
DEF-00120,T-90 Bhishma MBT,296.5,308.3,2257,14.3,42,0.1018,3.19,184
DEF-00121,Su-30MKI Fighter,307.9,317.1,1658,35.2,156,0.077,3.0,191
DEF-00122,Arjun Mk-II MBT,296.7,310.1,2309,32.3,69,0.033,2.95,144
DEF-00123,T-90 Bhishma MBT,297.2,307.8,2218,57.3,125,0.1561,3.44,200
DEF-00124,K9 Vajra Howitzer,305.4,315.4,1265,30.3,163,0.0657,3.12,177
DEF-00125,Arjun Mk-II MBT,302.7,314.4,2736,29.6,122,0.0414,3.11,145
DEF-00126,K9 Vajra Howitzer,299.8,314.3,1904,25.5,198,0.0605,2.81,192
DEF-00127,Su-30MKI Fighter,309.0,318.0,1495,81.8,116,0.0479,3.21,186
DEF-00128,Su-30MKI Fighter,306.2,319.6,2486,84.7,92,0.0627,3.12,178
DEF-00129,Arjun Mk-II MBT,303.7,316.1,2253,54.6,99,0.0463,2.95,213
DEF-00130,K9 Vajra Howitzer,296.1,309.7,2241,53.6,200,0.2383,3.95,197
DEF-00131,K9 Vajra Howitzer,295.9,307.9,2898,39.2,50,0.1888,3.79,200
DEF-00132,K9 Vajra Howitzer,302.7,317.1,2594,37.2,162,0.0598,2.86,207
DEF-00133,BMP-2 Sarath ICV,310.0,323.6,1870,85.0,213,0.079,3.17,165
DEF-00134,Su-30MKI Fighter,303.6,317.8,2752,68.2,15,0.2264,3.36,152
DEF-00135,K9 Vajra Howitzer,311.1,326.1,2315,79.1,222,0.129,3.6,179
DEF-00136,Arjun Mk-II MBT,307.3,319.5,2714,32.9,47,0.0689,3.01,147
DEF-00137,K9 Vajra Howitzer,293.1,303.4,2476,80.1,160,0.0638,2.84,184
DEF-00138,T-90 Bhishma MBT,310.9,325.9,1780,73.5,62,0.0798,3.34,148
DEF-00139,K9 Vajra Howitzer,309.6,318.0,2863,64.0,230,0.0585,3.16,173
DEF-00140,BMP-2 Sarath ICV,303.4,315.4,1609,22.4,214,0.7799,5.19,171
DEF-00141,BMP-2 Sarath ICV,302.4,312.7,2140,33.4,166,0.0558,3.2,166
DEF-00142,T-90 Bhishma MBT,297.4,309.9,2853,52.0,225,0.0324,2.94,162
DEF-00143,BMP-2 Sarath ICV,311.5,319.6,2723,76.0,38,0.044,3.12,197
DEF-00144,Su-30MKI Fighter,299.5,309.8,1417,87.2,199,1.1172,6.39,206
DEF-00145,BMP-2 Sarath ICV,295.4,304.9,1427,16.3,41,1.1771,6.67,179
DEF-00146,Arjun Mk-II MBT,308.3,321.0,1611,46.2,110,0.0565,3.37,166
DEF-00147,BMP-2 Sarath ICV,306.6,318.0,2347,18.7,5,0.2049,3.83,210
DEF-00148,K9 Vajra Howitzer,293.4,306.6,2405,55.7,179,0.0795,3.35,151
DEF-00149,BMP-2 Sarath ICV,300.7,313.2,1749,21.8,220,0.0767,3.05,146
DEF-00150,T-90 Bhishma MBT,293.3,308.2,1556,55.7,232,0.0525,3.3,181
DEF-00151,Arjun Mk-II MBT,304.0,313.2,1797,32.7,177,0.1756,3.59,155
DEF-00152,Arjun Mk-II MBT,297.1,306.3,2368,48.4,119,0.2061,3.67,205
DEF-00153,Arjun Mk-II MBT,305.0,316.2,1624,23.8,77,0.1378,3.38,215
DEF-00154,Arjun Mk-II MBT,309.9,324.6,1487,82.0,244,0.0763,3.2,205
DEF-00155,BMP-2 Sarath ICV,297.8,312.5,2719,49.8,73,0.9126,5.66,151
DEF-00156,T-90 Bhishma MBT,302.2,312.7,2751,63.4,130,0.0514,3.23,185
DEF-00157,BMP-2 Sarath ICV,311.0,321.9,1148,78.4,64,0.0304,3.0,196
DEF-00158,BMP-2 Sarath ICV,300.6,311.6,1669,41.7,62,0.1131,3.24,188
DEF-00159,T-90 Bhishma MBT,303.1,316.6,1210,42.6,193,0.0366,3.17,186
DEF-00160,Arjun Mk-II MBT,294.3,304.6,1808,48.1,44,0.1873,3.57,140
DEF-00161,K9 Vajra Howitzer,302.4,315.1,1813,80.9,211,0.6454,5.11,163
DEF-00162,BMP-2 Sarath ICV,307.7,317.1,2010,14.9,55,0.0383,3.07,164
DEF-00163,Arjun Mk-II MBT,308.7,320.6,1399,47.0,194,0.672,5.35,206
DEF-00164,K9 Vajra Howitzer,300.9,314.4,2276,82.9,16,0.7186,5.08,209
DEF-00165,T-90 Bhishma MBT,305.8,320.0,2533,37.5,6,0.0786,2.88,215
DEF-00166,K9 Vajra Howitzer,304.1,316.9,1234,53.6,201,0.0433,3.32,214
DEF-00167,Arjun Mk-II MBT,300.5,315.4,2219,28.7,27,0.0586,3.22,209
DEF-00168,Arjun Mk-II MBT,305.1,317.5,1457,36.6,180,0.0732,2.85,151
DEF-00169,Su-30MKI Fighter,293.2,304.3,2207,46.3,68,0.0435,2.83,190
DEF-00170,T-90 Bhishma MBT,293.9,307.6,2209,36.7,91,0.1751,3.3,182
DEF-00171,T-90 Bhishma MBT,308.1,321.4,2336,70.6,169,0.0598,2.97,173
DEF-00172,T-90 Bhishma MBT,293.3,307.9,2644,75.4,80,0.0664,3.18,195
DEF-00173,K9 Vajra Howitzer,303.5,313.3,1355,35.0,13,0.7745,5.57,168
DEF-00174,T-90 Bhishma MBT,299.4,312.1,1596,22.8,151,0.1664,3.44,169
DEF-00175,T-90 Bhishma MBT,303.8,316.7,1272,38.1,8,0.5913,4.52,164
DEF-00176,K9 Vajra Howitzer,303.3,318.0,2407,41.6,226,0.0344,2.92,200
DEF-00177,Su-30MKI Fighter,293.9,304.6,2651,59.2,94,0.2117,3.32,154
DEF-00178,Arjun Mk-II MBT,311.4,321.0,1907,60.2,51,1.1504,6.42,209
DEF-00179,Su-30MKI Fighter,299.3,313.0,2248,28.0,8,0.0435,2.98,176
DEF-00180,T-90 Bhishma MBT,296.4,310.9,1963,77.4,84,1.2665,7.22,210
DEF-00181,Su-30MKI Fighter,293.4,305.1,1787,50.6,77,0.0319,3.1,188
DEF-00182,K9 Vajra Howitzer,303.2,312.9,2555,47.2,139,0.2069,3.51,186
DEF-00183,Arjun Mk-II MBT,310.7,322.1,2669,38.3,109,0.0403,3.0,199
DEF-00184,Su-30MKI Fighter,297.5,311.7,2279,78.5,200,0.0789,3.11,158
DEF-00185,BMP-2 Sarath ICV,297.1,307.5,2155,79.9,223,0.0475,2.79,144
DEF-00186,Su-30MKI Fighter,308.0,316.9,1723,19.6,19,0.6904,5.0,208
DEF-00187,BMP-2 Sarath ICV,304.2,316.0,2858,73.7,168,0.0587,2.97,161
DEF-00188,BMP-2 Sarath ICV,306.6,317.3,1804,75.9,135,0.1434,3.49,194
DEF-00189,BMP-2 Sarath ICV,302.1,313.8,2769,40.2,133,0.0349,3.26,140
DEF-00190,Arjun Mk-II MBT,296.3,305.2,2496,22.9,78,0.146,3.32,215
DEF-00191,BMP-2 Sarath ICV,296.3,305.1,1763,25.8,189,0.2336,3.9,168
DEF-00192,Arjun Mk-II MBT,296.5,306.3,2202,25.1,211,0.0438,2.92,151
DEF-00193,Su-30MKI Fighter,311.2,324.0,1418,45.1,74,0.4218,3.99,200
DEF-00194,BMP-2 Sarath ICV,305.0,317.4,2396,24.5,75,0.03,2.75,202
DEF-00195,Su-30MKI Fighter,302.5,317.1,1421,30.5,157,0.0506,2.91,206
DEF-00196,K9 Vajra Howitzer,296.8,308.1,2362,86.0,98,0.0447,3.21,211
DEF-00197,BMP-2 Sarath ICV,298.3,311.9,1426,33.6,173,0.175,3.61,196
DEF-00198,K9 Vajra Howitzer,305.7,314.8,1570,36.9,175,0.0757,3.14,213
DEF-00199,Arjun Mk-II MBT,308.2,316.7,1175,37.1,54,1.2263,6.9,191
DEF-00200,Su-30MKI Fighter,305.5,320.4,2533,41.7,99,0.0776,3.15,176
DEF-00201,Arjun Mk-II MBT,296.1,309.7,2450,21.8,141,0.0682,3.27,152
DEF-00202,Su-30MKI Fighter,302.9,317.4,2250,19.4,203,0.138,3.19,150
DEF-00203,T-90 Bhishma MBT,310.0,321.2,2037,73.3,166,0.0356,3.23,156
DEF-00204,T-90 Bhishma MBT,306.0,315.1,2483,25.3,106,0.0564,2.93,152
DEF-00205,Arjun Mk-II MBT,310.4,322.9,1975,39.9,90,0.6323,5.18,177
DEF-00206,K9 Vajra Howitzer,294.4,306.0,2234,15.0,16,0.4887,4.66,197
DEF-00207,Arjun Mk-II MBT,300.2,308.9,2647,14.4,93,0.0635,3.32,196
DEF-00208,BMP-2 Sarath ICV,305.7,318.8,1563,84.8,102,0.0527,3.09,171
DEF-00209,K9 Vajra Howitzer,311.1,322.5,1892,38.9,95,0.0562,3.13,185
DEF-00210,Su-30MKI Fighter,307.5,319.8,1380,19.5,32,0.0659,3.17,141
DEF-00211,BMP-2 Sarath ICV,296.4,310.7,2883,13.7,159,0.0743,2.87,180
DEF-00212,Su-30MKI Fighter,306.8,316.1,2013,56.0,31,0.1311,3.43,140
DEF-00213,K9 Vajra Howitzer,294.8,305.0,1745,22.3,21,0.4643,4.25,146
DEF-00214,BMP-2 Sarath ICV,301.1,314.8,1997,22.3,107,0.1483,3.4,208
DEF-00215,Su-30MKI Fighter,305.3,319.6,2134,25.6,199,0.1035,3.25,163
DEF-00216,K9 Vajra Howitzer,296.2,310.0,2208,34.0,33,0.0784,3.25,169
DEF-00217,Arjun Mk-II MBT,295.0,303.1,1934,28.0,32,0.0586,2.99,186
DEF-00218,K9 Vajra Howitzer,310.3,318.7,2296,48.2,242,0.1901,3.21,159
DEF-00219,Arjun Mk-II MBT,297.6,309.6,1378,68.2,5,0.0431,3.21,170
DEF-00220,Su-30MKI Fighter,294.7,302.9,1477,50.2,81,0.0504,3.07,151
DEF-00221,BMP-2 Sarath ICV,294.8,305.1,2731,27.6,99,0.0588,3.03,175
DEF-00222,Su-30MKI Fighter,309.7,319.5,2887,72.6,165,0.0681,3.03,201
DEF-00223,T-90 Bhishma MBT,298.7,313.2,2846,80.4,241,0.1565,3.17,150
DEF-00224,Arjun Mk-II MBT,298.7,311.2,1855,77.5,223,0.0368,2.74,182
DEF-00225,K9 Vajra Howitzer,300.8,315.6,2894,24.6,133,0.0698,3.01,210
DEF-00226,BMP-2 Sarath ICV,299.7,309.4,1681,69.5,42,0.0754,2.9,191
DEF-00227,Su-30MKI Fighter,296.5,308.1,1228,71.0,119,0.1986,3.38,182
DEF-00228,Arjun Mk-II MBT,304.3,318.8,2357,45.6,133,0.0597,3.22,146
DEF-00229,Arjun Mk-II MBT,307.7,317.9,1543,22.7,152,0.1467,3.1,198
DEF-00230,Su-30MKI Fighter,295.2,305.1,2148,12.3,156,0.0371,2.79,200
DEF-00231,K9 Vajra Howitzer,293.7,303.3,2333,54.4,28,0.8811,5.75,183
DEF-00232,BMP-2 Sarath ICV,310.5,321.7,1256,31.3,215,0.072,3.06,167
DEF-00233,Su-30MKI Fighter,308.2,319.7,1534,44.9,182,0.0525,3.29,217
DEF-00234,T-90 Bhishma MBT,300.7,311.6,2004,47.6,242,0.0317,2.84,214
DEF-00235,Su-30MKI Fighter,300.0,314.0,2806,70.5,147,0.0657,3.14,165
DEF-00236,Arjun Mk-II MBT,310.4,322.2,1768,40.4,12,0.0519,3.0,189
DEF-00237,Arjun Mk-II MBT,303.3,313.2,1611,14.4,93,0.0788,3.05,174
DEF-00238,Arjun Mk-II MBT,312.0,320.6,1876,28.2,220,0.0707,2.96,162
DEF-00239,K9 Vajra Howitzer,297.5,306.6,2169,50.5,139,0.0631,3.0,185
DEF-00240,Su-30MKI Fighter,304.9,313.7,1468,12.1,31,0.5647,4.85,148
DEF-00241,Arjun Mk-II MBT,295.6,306.8,2728,31.2,154,0.0495,2.98,215
DEF-00242,K9 Vajra Howitzer,302.7,317.7,1266,74.5,58,0.0764,2.89,162
DEF-00243,BMP-2 Sarath ICV,293.8,305.3,1610,34.8,233,0.1848,3.45,152
DEF-00244,K9 Vajra Howitzer,307.3,320.9,1588,29.5,166,0.0626,2.83,186
DEF-00245,T-90 Bhishma MBT,302.2,315.7,1308,47.8,68,0.064,2.93,200
DEF-00246,T-90 Bhishma MBT,298.2,307.4,1917,39.2,90,0.0666,3.26,174
DEF-00247,BMP-2 Sarath ICV,295.9,306.8,2100,22.9,86,0.0429,3.04,179
DEF-00248,T-90 Bhishma MBT,309.7,324.3,1607,24.5,229,0.0565,3.16,180
DEF-00249,K9 Vajra Howitzer,308.8,320.8,2725,64.9,203,0.057,3.27,169
DEF-00250,Arjun Mk-II MBT,301.0,314.8,2232,59.6,239,0.0483,2.92,164
DEF-00251,Arjun Mk-II MBT,308.4,321.2,1468,22.1,134,0.0511,3.1,147
DEF-00252,T-90 Bhishma MBT,309.5,322.6,1439,26.2,195,0.0345,2.79,181
DEF-00253,T-90 Bhishma MBT,295.1,308.5,2011,40.2,67,0.0739,3.23,217
DEF-00254,BMP-2 Sarath ICV,311.3,326.3,2145,18.7,57,0.0655,3.32,210
DEF-00255,Arjun Mk-II MBT,296.3,306.6,2441,62.4,114,0.151,3.56,218
DEF-00256,BMP-2 Sarath ICV,294.5,305.0,1715,27.7,238,0.075,3.15,214
DEF-00257,T-90 Bhishma MBT,310.5,320.5,1528,55.5,193,0.0586,2.85,149
DEF-00258,Arjun Mk-II MBT,298.1,306.1,2489,26.6,136,0.0313,2.82,183
DEF-00259,K9 Vajra Howitzer,305.9,319.0,1291,55.3,87,0.726,5.43,172
DEF-00260,T-90 Bhishma MBT,304.9,314.2,2500,75.1,170,0.0492,3.0,159
DEF-00261,T-90 Bhishma MBT,296.2,307.8,1103,29.0,90,0.1765,3.32,142
DEF-00262,Su-30MKI Fighter,296.4,307.6,2877,84.9,17,0.0426,3.3,185
DEF-00263,K9 Vajra Howitzer,302.6,315.6,2613,40.9,165,0.1073,3.51,207
DEF-00264,Arjun Mk-II MBT,308.3,318.1,2265,60.3,102,0.1789,3.18,190
DEF-00265,BMP-2 Sarath ICV,302.5,311.7,2537,38.0,208,0.0587,3.13,149
DEF-00266,Arjun Mk-II MBT,307.7,317.6,2725,23.9,139,0.0415,3.11,155
DEF-00267,T-90 Bhishma MBT,306.8,315.9,1849,83.2,9,0.0547,3.25,171
DEF-00268,T-90 Bhishma MBT,305.9,316.3,2188,84.7,20,0.0414,2.95,158
DEF-00269,K9 Vajra Howitzer,295.3,306.4,2714,66.3,207,0.053,3.23,209
DEF-00270,Su-30MKI Fighter,309.6,321.7,2670,18.6,194,0.0307,2.86,148
DEF-00271,K9 Vajra Howitzer,294.9,306.2,2214,48.4,224,0.0367,2.77,203
DEF-00272,Su-30MKI Fighter,295.2,303.7,2426,27.9,98,0.0517,2.91,190
DEF-00273,K9 Vajra Howitzer,310.4,325.3,1125,63.2,175,0.4738,4.52,144
DEF-00274,T-90 Bhishma MBT,297.2,309.5,2791,72.6,56,0.0608,2.97,146
DEF-00275,BMP-2 Sarath ICV,307.7,319.2,2017,28.7,64,0.0771,3.35,185
DEF-00276,Arjun Mk-II MBT,296.6,306.5,1493,68.9,14,0.146,3.08,216
DEF-00277,Arjun Mk-II MBT,304.9,315.7,2016,72.8,162,0.0791,3.26,195
DEF-00278,Arjun Mk-II MBT,295.0,307.7,1468,21.9,19,0.054,2.95,170
DEF-00279,Arjun Mk-II MBT,307.4,318.5,2441,19.7,89,1.0038,6.13,142
DEF-00280,Arjun Mk-II MBT,301.8,312.0,2867,81.6,128,0.0755,3.43,162
DEF-00281,Arjun Mk-II MBT,305.8,318.2,1707,38.3,111,0.0704,2.94,210
DEF-00282,T-90 Bhishma MBT,294.7,308.0,2566,31.4,125,0.0335,2.86,207
DEF-00283,Arjun Mk-II MBT,302.6,316.4,2890,84.4,120,0.0485,2.77,210
DEF-00284,K9 Vajra Howitzer,299.9,308.2,2567,28.3,192,0.1289,3.58,162
DEF-00285,T-90 Bhishma MBT,305.1,318.1,2567,70.5,148,0.0657,3.03,157
DEF-00286,Su-30MKI Fighter,298.7,307.1,1357,17.1,204,0.0426,2.84,202
DEF-00287,BMP-2 Sarath ICV,301.4,309.8,1569,36.0,200,0.0676,3.32,174
DEF-00288,Arjun Mk-II MBT,305.1,317.9,1446,86.8,228,0.0367,3.1,181
DEF-00289,BMP-2 Sarath ICV,297.6,311.3,2462,21.5,123,0.0597,3.15,190
