asset_id,vibration_g_rms,bearing_temp_c,shaft_rpm,kurtosis,ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
AST-BRG-00036,4.299467536147367,55.97038232520913,3572.2103855123546,3.513434898676305,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00037,1.9316847151148424,41.845747093276,3545.471838159473,5.5687392173822605,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00038,0.9590589358300042,44.07480972409607,3105.163449379296,6.25681554861122,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00039,3.7158952246071375,48.5190157970741,2782.6151089967943,3.0452477362450683,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00040,2.568716720576126,50.05799968041788,2586.7369206026037,6.226361460960665,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00041,1.0735797037704606,86.03696347046827,3278.643708906803,5.052373593981481,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00042,2.82733147752297,68.6733672969515,1894.6548518867712,3.0465751107282038,0.5,50,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00043,0.6616260492415265,66.40345468246198,2322.4349099637047,4.3384299780467614,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00044,4.773805889770276,41.88613231215305,2686.5359264796043,3.191699261985921,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00045,1.7162659135200795,86.6083816009661,2186.8571420867784,5.511495922126249,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00046,3.6138547364637152,78.36885819250902,2225.967489816643,5.763132977997183,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00047,1.9650420576202317,39.0601017140001,1992.6832020050024,2.954925037173036,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00048,2.944319699535711,77.47010583378612,2554.1563600428863,4.676401366586971,0.31,69,41,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00049,3.0695383129134144,67.61229304055877,3241.3788672362784,6.002887740911444,0.28,72,43,ready,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00050,1.3688159409699772,39.9035207448067,1683.668107215151,6.525501078669285,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00051,5.0570477504934255,62.498038491719385,3442.6392930082598,4.708126826989611,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00052,4.143124269797239,64.08177722780282,2853.810368995751,6.58620066152905,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00053,4.915645025351689,44.94647240979654,3175.855710432073,4.803462572960928,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00054,4.70568854700995,91.74188882001694,2534.857662312028,4.195019126779604,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00055,3.3101299004121003,85.99852228883972,3070.8400834177523,6.14727345277745,0.38,62,37,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00056,4.832808904608649,75.1413402397465,1238.8809536147214,4.619825654969783,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00057,0.9159147596440216,62.73773366003643,3164.1130194708844,4.529180795427449,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00058,1.4211194533699825,59.70593249507051,1296.3332618048796,4.6083437044622615,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00059,0.7125682578795289,74.05840802905725,3335.79210327087,6.141175508039905,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00060,2.0290525545873423,67.72591216441432,3580.710593372744,6.0773486292586245,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00061,2.326783261540565,38.73638635291314,1905.761909224267,4.2351359674929085,0.52,48,28,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00062,1.7753404493373108,65.75015892621991,1704.7645350859048,3.9331893974432575,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00063,4.395066293014068,83.38421703397037,3036.8720732592974,4.615290503368255,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00064,2.1767406354598697,62.55439265581748,1807.263218208608,4.962921791869569,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00065,1.8203921955306896,38.117394653256106,3277.3497196132885,3.524850005700386,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00066,3.050671590843768,82.17669196304199,1446.822221177944,5.91400686427704,0.28,72,43,ready,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00067,1.1623438573813845,47.08182692815846,1502.29247131046,4.591875892649418,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00068,4.270325809543987,50.51725009328233,3549.9637322414774,3.9363958582058265,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00069,0.8503880252949229,44.88238120593776,2817.213355848011,2.95933026974516,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00070,5.138368602022432,54.81290389228985,3232.529338629487,3.527034189735509,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00071,4.12955041569429,80.4050903413181,1978.3905056436436,6.58190903855073,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00072,1.4339637032106105,66.16315157023624,2823.5609988494507,3.811928653323964,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00073,0.5259539504809313,47.29287644904275,2626.1803855406333,3.226094944278252,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00074,4.332668713737721,87.66980468912246,2647.5602882950725,4.480893004116471,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00075,3.8222295160838007,87.77491129709175,2838.077902890532,3.820477296449069,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00076,3.92633368979264,87.23470550276042,2580.8620155098365,2.6511847761661347,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00077,4.124970629423945,49.32777268289236,2229.749686326398,3.889524434301494,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00078,0.8480098631502246,62.07436065085929,1862.2144665133123,4.839667082939714,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00079,2.1847889241580813,94.0993793684525,3044.5951941916846,4.872363199685857,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00080,1.0445845797681097,81.32074857859942,1743.0538320076469,4.033203361060622,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00081,4.55658610161529,36.63004527353359,2861.650334770594,4.423401851886183,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00082,3.4295011960895225,38.91227547562952,1759.9987743583838,6.651727048409495,0.5,50,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00083,2.055220716807451,62.835882608739965,2700.792407890689,4.12259845209034,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00084,0.7987242463443112,89.55321235169362,2992.9878411096697,3.610375297017927,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00085,1.9616169120636124,67.32210787716285,1724.913333375694,3.5469082894870683,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00086,2.0283616135257114,64.86875048205741,1343.8639220671398,4.4683878346277766,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00087,3.929149038188901,41.32842199739783,1514.3369831860175,5.76593663948286,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00088,3.496520115369502,74.40680628345764,2654.392721450461,3.385749192010435,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00089,4.669899890108735,84.32618963601354,3238.671374941765,5.549973346705302,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00090,2.719410148261162,57.825200450453735,1307.9923709650184,2.59094424040249,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00091,1.062092955910018,81.53671105551965,2961.9630216999512,4.301411805330968,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00092,3.852250499948077,92.8685992340487,2019.1647502801247,5.836219780371984,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00093,4.075689728499418,47.22598754766135,2348.468087806854,3.9565517098300553,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00094,3.1380028285766324,66.39977787168448,3429.2629196293574,4.924069536215217,0.32,68,40,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00095,4.123545745786437,52.22827748507453,1996.731611366029,3.3814107011514163,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00096,2.8208393029126366,82.57126514203037,2316.8086414547665,5.690580181842541,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00097,2.956844298095372,69.65560195286946,1232.8377954256346,2.724800144055666,0.32,68,40,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00098,2.509442786285183,73.07494505301823,1395.836928011612,6.165933372964652,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00099,0.6194698956972474,82.87484957695364,1820.6198187234816,3.352244461613173,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00100,1.007089706868531,58.75822835974729,1266.8453779705785,6.259911536345822,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00101,0.647717172727651,89.90540410442259,2715.3007825158024,4.015875737592225,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00102,3.491128932939768,66.9817320347684,2223.3560563238943,5.607539370240293,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00103,1.9774731110587356,44.47728937012088,2515.5484865472527,3.8726687804806095,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00104,2.890282248474103,76.75394709012815,1619.1532461511908,6.395420186308984,0.3,70,42,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00105,4.765562427452637,82.59568102629527,1910.2368706478787,3.0445396397290097,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00106,1.6716734769997124,54.0057006240516,2793.17873964654,3.2676350938721743,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00107,2.42879973826746,86.43075541992518,3516.7265367129594,4.62002953818285,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00108,4.051090351152329,89.36859528594599,1321.000256645302,2.852335287864028,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00109,1.5753513778106256,51.61426924266853,3336.9223700526386,3.342714794217576,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00110,0.861805576195327,94.01128836291332,2584.5148831469005,6.558195443511662,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00111,1.8618318286947095,43.44269168292551,2553.406960213497,6.698905542935915,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00112,1.2577400500938207,47.1209401041494,2400.668484498625,4.117915116120814,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00113,4.869578966010094,46.05349035428157,1366.54580617004,6.470129890359923,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00114,4.29816578395276,88.63938260047223,1415.7044441667856,4.842746105395756,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00115,3.4769976555989905,74.2575531394977,2642.1888135818067,3.659892603257198,0.56,43,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00116,4.5958647738822735,44.12625699333637,2018.30057144534,5.520314500646574,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00117,4.277258761425838,61.41940510210094,3401.4433597864336,5.333277768271886,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00118,1.3768792767643685,71.91788150418813,2175.8172896627334,6.753238872167553,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00119,4.695027292902895,40.007845099363,1543.8755008863386,3.639703335859918,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00120,3.0349085370035587,87.94498210444033,2915.3252004048863,5.389855861445462,0.32,68,40,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00121,4.294968729271094,83.21621212649211,1904.048211458424,2.723702146626622,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00122,4.711629109640418,65.31240641459829,2461.128737654144,2.9886779663958936,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00123,1.9946163323677604,93.02759691555022,2874.798685212408,2.516849012289701,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00124,1.0172440452800808,60.06565875650598,3360.633866884969,6.797680928556594,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00125,1.571295263947126,94.04661914218988,3101.2588675240227,5.949776897734154,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00126,2.507406606543405,75.07519992821761,2823.266562894538,5.882908963354225,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00127,4.344669399835718,73.0802763952365,2831.1196377483448,4.691822123739173,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00128,4.545433741304814,44.9572937177471,3470.219145677008,3.790288456493392,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00129,0.5326750134965963,87.91566549827864,1909.9778339916863,3.1504364231895066,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00130,2.900512322114559,60.649381275236905,1202.6690260708497,3.7241013770397937,0.3,70,42,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00131,2.4618317147992617,44.734004346948765,1852.6909425556769,4.116676254295298,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00132,1.543906709212432,35.75645119854554,1722.9393111041854,5.752133417015264,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00133,1.0633672264683092,68.58534101830296,2788.403004273596,4.820545692283556,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00134,2.0867913055970515,66.64397732736057,2720.90783943727,2.833179594188576,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00135,4.93167560838884,78.16121734214951,2624.3073184913374,2.5775247385233224,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00136,2.0190537804975497,88.41548318106813,1238.9842637026888,2.940028371996472,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00137,2.9383159221938207,39.76439507858177,2949.0673306815543,4.265144468898731,0.31,69,41,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00138,3.804189106807336,78.88978942042175,1976.47298996518,6.512729543310779,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00139,2.209059131182681,46.244716645854936,2796.1343736159147,5.240830669199653,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00140,5.067375788788516,86.49062318942984,2535.788228405168,5.947851369464715,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00141,5.023502286227923,84.14381083169937,2022.5542210269773,4.505410756369559,0.6,40,24,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00142,1.6833767903792116,67.44762529913265,1522.9830410498585,4.055164157738684,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00143,2.837067977694212,77.61456791739869,1426.6053543851542,2.966121602681478,0.5,50,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00144,1.9141280561388172,53.861006791024906,3195.6439994693364,6.2665119954006805,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00145,1.8387503235740976,63.27007393596888,3404.154100995739,5.8675881248199815,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00146,0.6733686525663042,84.2982138626283,2759.4913122343187,3.222907819670218,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00147,3.3649523697055157,62.55591183039283,1448.24187566516,4.70272042466792,0.47,53,31,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00148,2.862591409175649,56.46789591952651,2164.865320531778,4.595711674061353,0.5,50,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00149,0.74195013087495,64.652746835018,2949.454080252377,5.187893676552073,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00150,1.8096383819120736,84.6949551462331,3071.570121624163,6.568603644162423,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00151,4.768849664043272,55.11248284225236,1483.7246934986126,4.993017199578663,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00152,1.6259408861347704,45.42569558814463,1200.0737252289175,4.82293424714806,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00153,1.1810058988287486,77.72084121984685,2909.128910113452,2.7163886116190548,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00154,2.8004279733045463,84.55869276248491,2055.8308223668937,2.770502146877503,0.49,51,30,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00155,5.132557134319823,41.038248711412,1810.7551958838249,3.305591202705192,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00156,1.637659776104052,49.39244676535668,1230.953927494861,2.6396243182745174,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00157,3.659037072807629,43.51831938565964,2496.7185762275994,5.696417450951053,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00158,4.079612192044973,55.87648469493,3242.7617650223565,5.6103203071740415,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00159,1.6168964567642783,62.021058734324754,3498.315951054211,3.0850418080560646,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00160,3.92261683847574,79.92958021779839,2557.7878814718943,6.095139273419708,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00161,2.22858072378049,74.06885509290045,2434.707186575746,3.165579949838281,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00162,3.471837403789824,72.25571404870587,1404.135325174179,3.7950550240886423,0.56,43,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00163,3.477589640576205,56.14249679657927,2517.2947237022395,3.5706006663938696,0.56,43,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00164,3.018141015151365,85.4868531850856,2111.949789516947,4.100920523864105,0.28,72,43,ready,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00165,0.9243619192557192,63.27723004388987,2657.1246741205846,3.595054193326836,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00166,4.425921729269419,93.74629628090926,2132.943234903712,4.602488983685344,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00167,2.0076663053671586,73.04852829774421,1776.7178962808805,4.2518538898251474,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00168,1.3766369988793148,42.57588449387016,1427.9166605481037,6.742248810351104,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00169,0.6916431653073905,75.57065372452604,1955.8042670133495,2.74048330555137,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00170,3.2771968329847367,54.506240925901935,1431.9476022906056,3.111379918465612,0.32,68,40,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00171,3.684552500658728,76.17963180116584,1624.5526819775614,2.7271513438069905,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00172,0.5779627959609239,39.17846888974434,3569.60678059091,5.191117138424216,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00173,2.9068373740066207,45.49288623055756,2265.8485365758847,2.734389892878994,0.3,70,42,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00174,1.5645301434303085,86.34423553434718,2476.49223961204,6.09669087071733,0.55,44,26,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00175,3.5323121149244145,48.63077342141089,3296.6844689693166,4.70133611193229,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00176,1.3195222163234597,85.22246751457641,3589.365361177651,4.766132785700595,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00177,3.74740736908159,51.75656530726462,2598.514678427236,4.9148563831624354,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00178,2.317656127612526,73.57291460352246,3149.937170506012,3.2344989371167063,0.52,48,28,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00179,4.902630947062653,76.64903441058986,1984.6584584080208,3.3500683033922964,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00180,1.1463484374861683,65.75928518870317,1933.7854978734983,3.87091448835392,0.57,43,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00181,2.103011849936215,53.31864060180388,2166.4889303869445,5.052034588033961,0.54,46,27,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00182,1.0333255498307683,47.75866258226577,2814.0174304167576,3.4035064365429224,0.61,39,23,critical,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00183,4.846060005909245,36.991361273745575,2837.2600542122373,3.000226426673023,0.58,42,25,watch,IMS Bearing RandomForest (NASA/UC)
AST-BRG-00184,4.623494960890611,53.23678407444343,1956.574643158682,6.671502611599259,0.59,41,24,watch,IMS Bearing RandomForest (NASA/UC)
