engine_id,altitude_ft,mach_number,total_temp_k,combustor_pres_psi,bleed_enthalpy,bypass_ratio,ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
TURBO-SU30-00053,32739,0.69,628.7,526.1,416.7,7.28,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00054,15556,0.77,596.7,425.3,407.5,5.92,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00055,17120,0.95,536.5,336.6,405.3,8.63,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00056,13506,0.54,633.1,531.4,420.4,6.3,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00057,27047,0.81,552.5,355.6,401.7,8.2,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00058,24390,0.82,541.1,374.6,414.0,7.97,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00059,30590,0.6,618.5,422.4,405.2,7.94,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00060,27013,0.55,528.8,548.3,387.1,7.15,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00061,19660,0.87,621.4,382.8,406.4,6.97,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00062,23654,0.81,543.1,521.1,417.9,5.69,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00063,34301,0.82,561.6,426.1,409.5,6.16,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00064,21538,0.89,619.2,542.9,390.1,8.02,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00065,36675,0.76,596.1,341.2,407.7,8.07,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00066,17081,0.79,560.4,365.8,406.9,6.14,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00067,37374,0.86,618.4,460.4,395.5,8.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00068,32137,0.71,555.8,539.3,421.4,6.28,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00069,23388,0.66,511.9,511.0,392.4,7.41,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00070,21713,0.85,636.1,436.8,420.7,7.09,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00071,19537,0.56,586.1,541.6,405.3,5.53,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00072,33874,0.78,512.8,558.4,409.2,6.26,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00073,13696,0.77,629.9,442.6,407.8,7.54,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00074,33991,0.68,544.5,338.5,395.5,7.39,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00075,32947,0.51,511.0,476.8,416.0,7.24,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00076,25334,0.52,632.8,430.6,389.3,6.72,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00077,35996,0.6,518.3,471.7,424.7,6.05,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00078,35485,0.8,595.7,355.6,398.5,6.67,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00079,17968,0.59,602.9,535.3,409.9,5.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00080,36050,0.84,629.0,453.2,409.9,8.65,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00081,35688,0.82,586.1,510.9,406.3,6.89,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00082,17860,0.79,562.7,385.4,391.0,7.19,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00083,22951,0.57,549.5,514.8,390.9,8.55,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00084,34383,0.7,626.9,487.7,412.6,5.23,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00085,31505,0.58,521.9,518.2,399.6,6.52,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00086,21397,0.66,555.4,558.5,385.1,7.05,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00087,16061,0.58,613.4,542.7,412.7,8.67,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00088,25684,0.8,626.5,555.4,406.5,6.78,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00089,25042,0.73,552.5,504.0,405.8,7.95,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00090,26557,0.47,568.0,367.9,403.4,8.07,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00091,13171,0.54,564.0,443.9,422.9,8.53,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00092,15033,0.57,578.9,402.1,413.6,5.3,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00093,36113,0.77,548.4,509.0,405.9,6.52,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00094,12682,0.96,573.3,475.1,420.2,5.35,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00095,14463,0.72,604.7,456.8,415.7,6.21,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00096,31545,0.48,532.6,464.1,394.0,7.34,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00097,11546,0.7,548.0,391.7,405.6,8.19,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00098,34154,0.78,614.2,524.3,398.2,5.91,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00099,33200,0.49,598.1,478.7,404.8,7.63,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00100,27563,0.78,538.1,525.2,398.5,8.54,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00101,32138,0.77,555.8,321.5,406.7,5.76,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00102,21690,0.48,545.5,406.9,402.1,6.58,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00103,22445,0.87,615.6,423.7,409.8,8.49,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00104,27199,0.91,604.6,547.6,424.5,5.86,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00105,27918,0.89,583.8,522.8,407.0,5.46,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00106,29566,0.89,545.0,489.4,421.8,6.32,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00107,37011,0.64,545.5,360.3,423.1,6.68,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00108,28000,0.51,575.3,321.1,420.6,5.63,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00109,25493,0.81,586.1,332.6,397.7,5.4,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00110,14045,0.97,557.6,483.0,408.4,8.55,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00111,19698,0.8,639.7,529.4,415.7,7.31,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00112,11863,0.77,597.1,378.2,392.9,6.91,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00113,16951,0.76,519.5,416.4,419.1,5.24,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00114,18704,0.83,595.3,373.1,410.1,6.89,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00115,19818,0.54,629.7,365.9,395.3,7.42,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00116,11571,0.77,562.0,493.8,416.7,7.96,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00117,12552,0.87,552.2,529.2,397.2,5.81,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00118,33604,0.74,533.7,360.5,409.9,5.82,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00119,20614,0.9,608.8,469.4,403.3,5.53,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00120,22077,0.82,536.7,417.3,407.6,8.07,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00121,15310,0.76,513.8,546.0,389.9,5.52,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00122,34456,0.94,511.1,407.4,419.9,5.89,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00123,24272,0.45,581.3,474.8,412.4,6.03,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00124,25767,0.81,624.9,345.7,403.1,8.17,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00125,36761,0.56,530.1,350.7,407.8,7.83,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00126,35779,0.8,554.7,452.9,398.3,7.18,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00127,36414,0.66,525.9,400.6,418.2,7.4,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00128,12512,0.74,527.5,396.8,408.1,7.38,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00129,34926,0.7,604.5,452.7,413.8,6.96,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00130,16068,0.53,597.0,391.1,400.9,6.11,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00131,13471,0.67,546.7,433.8,390.3,6.68,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00132,29049,0.92,593.3,539.6,396.0,8.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00133,18333,0.54,623.5,438.1,398.8,5.85,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00134,17917,0.83,618.2,529.7,405.6,6.28,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00135,22069,0.47,552.5,395.3,398.7,7.43,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00136,18690,0.48,550.7,433.3,415.6,6.81,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00137,23993,0.71,612.6,438.8,410.4,6.93,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00138,17191,0.69,603.6,545.8,388.6,8.79,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00139,25409,0.66,515.9,529.3,400.3,5.46,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00140,31107,0.75,597.6,458.1,394.4,6.11,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00141,12917,0.95,550.9,456.0,421.5,7.32,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00142,28626,0.46,617.1,337.6,410.2,5.35,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00143,28010,0.95,520.3,374.8,420.4,6.15,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00144,10568,0.66,556.3,383.6,394.5,8.18,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00145,13198,0.8,604.3,511.1,389.0,6.17,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00146,37163,0.95,611.2,445.1,423.2,8.5,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00147,22577,0.65,511.5,427.2,388.7,8.69,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00148,10460,0.53,615.3,411.8,394.8,5.45,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00149,14985,0.64,510.6,496.0,402.4,5.65,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00150,24329,0.52,535.5,353.9,397.8,6.82,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00151,22701,0.89,623.9,329.3,421.0,7.52,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00152,34747,0.92,564.9,453.1,403.5,7.61,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00153,17409,0.7,546.1,478.8,393.5,6.57,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00154,11891,0.6,549.4,340.0,421.2,6.58,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00155,25798,0.92,605.3,380.2,391.0,6.43,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00156,20326,0.85,586.0,372.8,416.5,7.77,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00157,33505,0.73,541.5,384.1,408.1,6.43,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00158,19382,0.74,604.9,338.1,414.9,6.09,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00159,28381,0.97,633.9,519.4,408.2,7.46,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00160,32389,0.66,620.8,512.3,417.3,8.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00161,23522,0.94,632.3,440.2,391.6,7.89,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00162,34907,0.67,635.4,542.0,398.7,5.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00163,21351,0.69,605.6,543.1,411.1,5.92,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00164,30093,0.68,530.8,545.3,417.6,8.07,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00165,23348,0.54,518.1,557.5,398.9,8.17,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00166,37887,0.61,573.7,360.6,391.9,7.7,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00167,25113,0.49,610.6,344.6,406.7,8.63,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00168,11267,0.46,562.4,374.0,410.9,5.3,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00169,34638,0.45,590.4,531.8,417.1,7.64,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00170,37171,0.52,600.2,327.0,400.6,6.11,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00171,19127,0.79,609.0,448.1,414.7,7.11,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00172,27478,0.72,531.4,528.8,419.5,7.73,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00173,13788,0.48,576.7,462.0,388.3,8.36,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00174,11290,0.69,532.1,435.5,423.7,6.2,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00175,34267,0.97,556.4,529.4,393.3,8.52,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00176,35869,0.76,612.1,357.4,415.2,5.55,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00177,22241,0.56,515.6,485.7,417.4,8.47,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00178,12592,0.88,554.2,481.4,387.7,5.73,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00179,14317,0.48,608.0,361.8,403.8,5.37,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00180,31783,0.54,569.8,321.9,421.5,5.53,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00181,31020,0.69,601.7,439.0,411.1,8.05,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00182,31786,0.93,529.7,461.9,393.2,8.27,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00183,31453,0.45,632.2,422.0,411.6,8.48,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00184,19626,0.96,619.4,352.5,397.8,5.98,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00185,36637,0.5,555.4,351.5,409.5,6.52,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00186,21851,0.64,538.9,519.6,423.5,8.3,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00187,13461,0.7,599.8,397.7,389.1,6.71,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00188,22267,0.91,566.3,343.1,400.6,6.7,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00189,26820,0.51,515.3,533.0,398.4,6.75,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00190,14233,0.94,514.2,357.4,421.1,5.32,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00191,36031,0.71,594.6,530.6,410.0,6.81,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00192,34156,0.79,548.9,431.1,403.4,5.38,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00193,27545,0.76,619.5,532.9,422.2,7.65,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00194,34379,0.96,525.5,398.3,399.1,8.75,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
