vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
ARMOR-T90-00019,297.8,312.8,1507,67.6,219,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00020,306.3,310.2,1980,21.0,73,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00021,302.2,317.7,2529,71.7,247,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00022,297.5,306.8,2592,62.0,97,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00023,300.6,305.4,2537,76.7,177,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00024,304.8,311.0,2763,73.6,9,0.47,53,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00025,301.0,310.1,1726,40.4,136,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00026,298.7,310.6,1924,58.4,178,0.66,34,20,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00027,306.5,311.0,1908,84.0,219,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00028,299.5,312.2,2761,63.2,150,0.45,55,33,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00029,306.9,311.2,2225,37.7,134,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00030,305.5,317.2,1244,69.6,156,0.81,18,11,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00031,300.0,315.4,1550,23.3,150,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00032,297.2,310.5,2106,23.0,173,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00033,297.3,312.5,2575,35.5,77,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00034,295.4,317.5,1687,84.1,118,0.45,55,33,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00035,295.5,306.8,2339,58.7,212,0.37,63,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00036,299.2,312.9,2467,48.5,60,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00037,296.3,306.4,2531,28.0,91,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00038,301.9,310.6,2586,15.1,89,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00039,300.3,306.3,2122,81.7,131,0.71,29,17,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00040,296.0,316.0,2001,31.7,76,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00041,301.4,315.4,2695,83.8,145,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00042,303.5,308.3,2168,58.2,19,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00043,299.7,313.3,1371,60.0,66,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00044,297.7,309.7,1714,52.5,143,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00045,305.3,314.9,1830,82.6,150,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00046,303.6,313.8,1801,75.5,43,0.44,56,33,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00047,306.5,307.0,1750,63.3,205,0.25,75,45,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00048,305.8,310.4,2552,56.2,163,0.18,82,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00049,306.8,310.6,2006,61.9,76,0.37,63,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00050,302.2,311.9,2624,75.9,135,0.64,36,21,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00051,298.0,317.8,1993,24.5,108,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00052,307.3,311.6,1253,76.2,8,0.79,20,12,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00053,298.6,308.0,1415,60.1,110,0.35,65,39,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00054,299.4,314.8,2153,31.8,162,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00055,298.6,310.7,2469,60.0,219,0.59,41,24,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00056,306.4,317.7,2451,39.5,24,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00057,298.7,309.9,2173,82.8,165,0.75,25,15,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00058,295.8,311.0,1515,71.7,162,0.66,34,20,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00059,297.3,317.3,2774,46.6,140,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00060,299.0,315.5,1587,20.4,27,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00061,306.6,308.9,2261,23.7,46,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00062,297.9,310.6,1269,55.2,186,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00063,297.1,315.0,2369,58.3,249,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00064,301.1,309.9,1826,35.1,79,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00065,306.6,311.7,1763,82.4,106,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00066,304.8,307.5,2023,25.5,77,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00067,305.4,311.5,1651,56.0,179,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00068,305.2,313.6,2251,72.7,168,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00069,300.7,310.7,1672,45.6,94,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00070,303.0,315.5,2048,36.4,167,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00071,306.0,317.6,2767,62.0,194,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00072,300.3,305.2,2296,47.1,33,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00073,297.3,316.2,1299,47.9,146,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00074,301.2,313.8,1721,77.9,213,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00075,305.2,307.5,1234,18.0,221,0.33,67,40,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00076,302.8,306.7,1304,44.2,41,0.45,55,33,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00077,299.9,305.6,2557,61.7,187,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00078,298.4,315.4,2595,63.4,208,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00079,298.9,317.6,1900,26.7,141,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00080,300.4,311.2,1671,73.5,27,0.66,34,20,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00081,306.3,305.9,1317,77.4,11,0.72,28,16,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00082,300.7,307.4,1584,83.9,39,0.65,35,21,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00083,306.0,314.8,1909,46.8,20,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00084,301.3,317.3,2171,30.2,194,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00085,298.2,317.9,2366,42.3,169,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00086,307.1,309.9,1347,48.5,43,0.68,31,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00087,304.6,315.2,1488,23.3,29,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00088,307.9,308.0,2106,30.3,142,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00089,298.4,309.1,1479,55.2,37,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00090,306.5,307.1,2081,75.6,172,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00091,302.0,311.8,1348,59.3,172,0.32,68,40,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00092,300.2,306.6,1641,79.8,90,0.67,32,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00093,301.9,313.4,1925,79.4,143,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00094,301.9,314.6,1788,72.7,87,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00095,301.5,306.1,1373,70.8,124,0.76,24,14,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00096,301.8,313.1,1647,21.3,122,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00097,298.1,308.0,1925,73.7,13,0.72,28,16,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00098,304.3,311.0,1726,46.3,127,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00099,307.9,305.9,1448,51.1,143,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00100,307.4,307.5,2656,18.7,189,0.21,79,47,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00101,297.5,305.7,2413,22.3,73,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00102,297.9,306.7,1667,43.8,229,0.22,78,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00103,307.7,312.5,2605,69.5,186,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00104,298.5,317.7,2611,38.9,237,0.26,74,44,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00105,300.7,312.7,1988,24.0,28,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00106,306.5,313.0,1918,41.8,227,0.22,78,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00107,299.5,305.3,1352,36.6,146,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00108,298.2,313.3,1996,81.3,131,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00109,300.4,313.1,2098,49.8,32,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00110,300.2,316.2,1753,74.0,39,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00111,295.7,310.3,1390,50.9,72,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00112,304.7,309.1,1376,27.3,204,0.22,78,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00113,299.6,306.0,1774,76.7,161,0.69,31,18,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00114,305.3,308.4,1361,17.4,70,0.31,69,41,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00115,305.2,315.2,2334,54.7,179,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00116,300.0,306.3,1886,76.8,163,0.73,27,16,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00117,297.2,310.1,1206,59.1,234,0.67,32,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00118,305.4,306.2,1916,36.2,17,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00119,301.1,312.7,1558,15.6,212,0.16,84,50,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00120,299.6,309.6,2428,43.9,194,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00121,307.5,306.1,1584,51.6,78,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00122,306.2,306.7,2461,68.0,101,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00123,302.3,316.6,1604,55.0,81,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00124,297.5,306.8,1974,78.4,163,0.74,26,15,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00125,303.2,311.9,2490,56.3,13,0.17,83,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00126,295.9,306.7,2041,23.8,166,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00127,307.0,311.8,1488,63.0,123,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00128,295.5,313.4,1951,52.2,4,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00129,298.3,309.3,1527,70.4,147,0.77,23,13,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00130,299.1,306.4,1990,57.3,62,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00131,295.2,310.4,2194,45.7,224,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00132,296.5,311.3,2576,36.6,223,0.29,71,42,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00133,295.4,314.8,2665,29.9,83,0.16,84,50,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00134,301.2,308.3,2262,56.0,73,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00135,303.7,311.8,1640,52.4,64,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00136,298.4,310.0,2732,58.3,14,0.19,81,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00137,301.3,315.9,1202,60.0,62,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00138,306.6,310.8,2232,24.2,65,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00139,297.3,313.7,1527,66.1,211,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00140,299.3,312.7,2055,82.8,20,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00141,306.5,315.5,1209,31.3,102,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00142,295.7,317.0,2038,39.4,55,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00143,295.2,305.9,1861,18.6,118,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00144,302.8,316.8,1493,45.5,233,0.66,34,20,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00145,296.5,312.8,1678,64.5,187,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00146,306.2,310.6,1334,76.6,226,0.93,12,4,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00147,302.8,310.4,2399,63.5,193,0.59,41,24,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00148,304.1,317.3,1724,79.3,80,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00149,300.1,314.7,1743,29.1,159,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00150,299.1,316.1,1483,40.9,140,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00151,297.9,309.8,1805,25.1,38,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00152,302.9,312.4,1882,84.4,172,0.73,27,16,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00153,299.5,312.6,2713,48.9,112,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00154,304.1,314.8,1678,70.7,137,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00155,302.4,306.8,2049,56.2,150,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00156,299.4,317.2,2531,49.2,73,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00157,305.7,306.3,1314,82.8,66,0.8,19,11,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00158,302.5,308.2,2775,63.2,176,0.67,32,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00159,297.1,317.1,1560,72.2,198,0.63,37,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00160,302.4,308.8,2300,51.9,33,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00161,297.2,315.8,2488,35.6,38,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00162,295.1,313.6,2679,55.4,137,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00163,299.6,311.6,1712,25.8,108,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00164,295.9,306.2,2597,77.0,157,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00165,298.3,315.1,1860,84.6,164,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00166,306.9,313.0,1325,24.2,195,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00167,305.4,305.3,1745,38.0,7,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00168,301.9,309.0,1736,24.3,128,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00169,300.3,306.0,1541,33.6,231,0.36,64,38,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00170,303.0,309.4,2214,68.7,68,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00171,307.9,308.9,1408,52.9,149,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00172,299.9,307.4,1554,76.2,159,0.75,25,15,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00173,298.6,305.7,1951,61.9,172,0.65,35,21,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00174,305.3,312.9,1402,76.0,211,0.83,17,10,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00175,301.2,306.0,2583,56.6,127,0.17,83,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00176,304.3,313.9,1356,66.1,188,0.64,36,21,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00177,305.7,305.5,2194,45.1,144,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00178,307.1,311.3,1994,58.0,237,0.51,49,29,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00179,303.2,307.8,1328,15.7,169,0.37,63,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00180,297.4,317.1,1410,74.4,207,0.78,21,13,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00181,306.5,314.1,2362,40.0,217,0.25,75,45,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00182,303.5,312.9,1754,66.5,62,0.41,59,35,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00183,306.6,305.2,2672,55.4,17,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00184,304.7,312.2,1251,20.6,184,0.22,78,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00185,306.2,311.6,2561,71.5,48,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00186,297.8,306.0,1628,52.8,76,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00187,298.3,305.2,2249,43.2,44,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00188,299.8,309.3,1961,40.5,71,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00189,298.8,306.9,1229,47.0,25,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00190,300.2,313.7,1403,34.3,80,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00191,296.4,312.5,2165,32.8,125,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00192,304.0,309.2,1297,60.5,220,0.83,17,10,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00193,305.5,311.5,2767,52.2,4,0.17,83,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00194,307.1,314.9,1287,82.8,40,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00195,297.0,317.8,1529,21.8,225,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00196,297.4,305.6,2621,23.6,93,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00197,298.7,315.7,2480,46.4,69,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00198,303.3,310.0,2101,32.9,82,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00199,305.0,311.7,1206,43.5,150,0.45,55,33,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00200,306.5,316.9,2258,43.1,131,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00201,306.1,309.8,2230,69.0,236,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00202,299.1,308.2,1989,24.2,192,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00203,301.9,309.1,2705,83.3,238,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00204,296.5,315.6,1484,43.9,104,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00205,298.6,308.4,2494,62.1,16,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00206,303.7,311.9,2260,41.5,100,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00207,299.4,308.0,2009,32.8,154,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00208,298.4,310.7,1914,62.5,72,0.64,36,21,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00209,297.5,312.9,2023,64.8,10,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00210,297.4,317.6,2003,17.5,11,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00211,296.3,314.9,1358,16.8,84,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00212,300.2,317.5,2632,80.1,10,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
