asset_id,platform_name,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],vibration_g_rms,hydraulic_pressure_psi,ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
IND-ARMY-1859,T-90 Bhishma,308.8,318.4,1647,80.0,212,1.2757,156,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1432,Arjun Mk-II MBT,302.4,314.4,1393,54.5,183,0.1863,173,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0253,K9 Vajra 155mm,298.2,308.1,1504,29.9,74,0.068,201,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1222,BMP-2 Sarath,296.1,309.9,1597,33.3,87,0.0754,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1611,NAMICA ATGM,302.9,315.9,2493,62.2,126,0.1606,178,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1616,K9 Vajra 155mm,304.8,312.7,2404,56.4,169,0.2121,163,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0078,BMP-2 Sarath,300.0,309.3,2339,32.9,53,0.0438,189,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0721,NAMICA ATGM,297.8,310.9,1821,41.8,59,0.0607,198,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0761,T-90 Bhishma,297.2,310.9,1680,30.9,92,0.0722,210,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0585,Arjun Mk-II MBT,299.6,309.4,2038,24.3,91,0.0406,211,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1703,NAMICA ATGM,306.2,315.5,1981,67.5,163,0.1628,163,0.51,49,29,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0038,T-90 Bhishma,300.1,310.4,1939,39.3,22,0.0646,205,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1167,Arjun Mk-II MBT,296.3,310.2,1972,32.8,44,0.0517,207,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0809,BMP-2 Sarath,297.1,310.8,2225,22.2,56,0.0654,191,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1204,NAMICA ATGM,299.4,307.4,2402,21.2,55,0.0534,206,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1610,BMP-2 Sarath,304.4,315.7,1931,65.3,124,0.1444,179,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1886,T-90 Bhishma,313.1,321.4,2028,79.2,214,1.4164,152,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1880,NAMICA ATGM,311.6,318.8,1535,71.3,237,1.5539,158,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1302,T-90 Bhishma,300.2,307.2,2008,26.5,74,0.0444,212,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1854,K9 Vajra 155mm,309.0,321.5,1990,84.3,233,1.4882,135,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0129,BMP-2 Sarath,300.0,309.7,2415,37.0,81,0.0662,197,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0942,Arjun Mk-II MBT,296.0,310.5,1369,25.2,108,0.0653,206,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0229,Arjun Mk-II MBT,300.9,310.6,2155,40.5,81,0.0713,194,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1454,K9 Vajra 155mm,306.0,313.6,2485,62.4,171,0.2051,182,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1974,K9 Vajra 155mm,311.2,322.0,2070,85.0,201,0.4657,141,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0276,BMP-2 Sarath,297.6,310.3,1556,30.6,31,0.0609,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1589,K9 Vajra 155mm,303.9,315.4,1521,53.9,151,0.1368,165,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1667,T-90 Bhishma,304.4,314.1,2191,67.5,135,0.1717,178,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0410,BMP-2 Sarath,296.5,307.0,1791,25.0,45,0.0607,204,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0002,T-90 Bhishma,300.2,308.8,2224,46.2,85,0.0589,200,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1771,BMP-2 Sarath,311.8,318.3,2457,73.9,194,0.5704,154,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1382,Arjun Mk-II MBT,300.5,307.2,2049,32.8,100,0.0486,195,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0616,K9 Vajra 155mm,299.0,310.9,1658,25.4,69,0.0534,197,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0373,K9 Vajra 155mm,299.3,308.8,2193,24.7,81,0.0725,209,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0775,BMP-2 Sarath,298.2,308.5,2393,35.9,93,0.0554,185,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1171,Arjun Mk-II MBT,297.1,310.7,1798,36.2,13,0.0735,189,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0492,NAMICA ATGM,299.4,307.4,2020,28.2,52,0.059,188,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1189,Arjun Mk-II MBT,300.8,308.4,1920,42.8,86,0.0454,191,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0344,K9 Vajra 155mm,298.5,307.4,1633,39.6,108,0.0611,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0284,Arjun Mk-II MBT,297.5,309.9,2404,34.8,57,0.0471,211,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1693,NAMICA ATGM,302.3,315.3,2135,58.6,146,0.1888,182,0.36,64,38,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0257,NAMICA ATGM,297.0,311.0,2291,39.8,10,0.0505,195,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1626,BMP-2 Sarath,302.3,316.3,2095,55.4,137,0.1373,182,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1890,BMP-2 Sarath,313.3,321.8,1595,75.3,240,0.9565,136,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1458,Arjun Mk-II MBT,303.2,312.6,2229,57.0,144,0.2024,173,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0756,T-90 Bhishma,298.0,309.6,1644,35.4,42,0.0541,194,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1675,Arjun Mk-II MBT,302.6,314.4,1790,56.4,120,0.2101,160,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1310,BMP-2 Sarath,301.0,308.9,2530,44.7,97,0.0543,210,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0700,NAMICA ATGM,299.4,308.2,1860,47.9,29,0.0493,210,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0680,BMP-2 Sarath,296.9,308.6,1670,27.8,71,0.0655,207,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1716,NAMICA ATGM,305.2,312.5,2119,54.5,183,0.1346,183,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0419,Arjun Mk-II MBT,300.2,308.2,2413,21.2,64,0.0635,194,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0899,NAMICA ATGM,299.6,309.5,2127,33.1,52,0.0563,189,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1007,T-90 Bhishma,296.2,308.0,1517,47.9,102,0.0639,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1655,T-90 Bhishma,303.1,315.2,1545,60.5,137,0.1658,167,0.51,49,29,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0404,Arjun Mk-II MBT,298.0,306.6,2540,36.6,26,0.0792,189,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1188,T-90 Bhishma,297.1,306.1,1729,43.6,78,0.0719,185,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0294,NAMICA ATGM,300.4,310.8,2441,18.7,15,0.0605,200,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1244,Arjun Mk-II MBT,300.3,310.1,2535,43.1,90,0.0629,192,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1594,NAMICA ATGM,306.5,314.2,2411,61.3,179,0.1808,176,0.42,58,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0648,K9 Vajra 155mm,297.9,306.2,1620,41.7,10,0.0476,208,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0771,Arjun Mk-II MBT,298.6,306.1,2212,22.0,60,0.0607,197,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1760,T-90 Bhishma,311.7,323.6,2545,72.2,233,1.0976,135,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1228,K9 Vajra 155mm,300.3,307.2,1517,39.8,50,0.0701,214,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0013,T-90 Bhishma,301.0,307.0,2308,34.2,78,0.073,190,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0163,Arjun Mk-II MBT,299.9,306.6,2006,42.5,43,0.0619,194,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1926,K9 Vajra 155mm,310.3,322.1,1510,75.6,223,0.6422,140,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1377,K9 Vajra 155mm,300.5,307.0,2118,44.2,75,0.0415,187,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0725,Arjun Mk-II MBT,301.0,310.4,1617,37.4,36,0.0601,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0550,K9 Vajra 155mm,297.5,309.3,2026,25.3,13,0.0748,193,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1625,NAMICA ATGM,303.8,314.5,2017,56.2,125,0.2053,163,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1591,BMP-2 Sarath,305.2,313.9,2018,61.6,137,0.1674,174,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1287,BMP-2 Sarath,296.8,309.9,1372,43.1,92,0.0402,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0990,Arjun Mk-II MBT,301.0,306.3,1455,34.6,67,0.0569,210,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1328,NAMICA ATGM,296.6,308.4,2116,26.2,93,0.078,204,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0874,BMP-2 Sarath,300.2,309.8,2257,18.4,51,0.0674,191,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1326,T-90 Bhishma,297.8,308.6,2423,40.9,102,0.0713,187,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1615,Arjun Mk-II MBT,304.4,316.1,2373,63.8,151,0.1848,164,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0835,T-90 Bhishma,297.4,308.6,1374,45.0,87,0.0455,211,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1955,K9 Vajra 155mm,309.5,318.2,2458,76.7,231,1.4709,158,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0254,NAMICA ATGM,298.6,310.9,2421,43.8,29,0.0785,197,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1121,BMP-2 Sarath,298.6,308.8,2486,41.8,58,0.0629,200,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0405,NAMICA ATGM,299.4,310.0,2344,20.0,64,0.0783,213,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0217,Arjun Mk-II MBT,298.6,308.2,2522,24.1,76,0.0425,194,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1817,NAMICA ATGM,313.4,323.7,1451,81.8,194,0.9864,139,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1863,K9 Vajra 155mm,312.2,323.6,1403,76.6,194,0.4884,149,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0041,NAMICA ATGM,296.2,309.7,1636,48.0,91,0.0623,201,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0468,BMP-2 Sarath,296.9,310.6,2567,20.1,82,0.0777,207,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1430,K9 Vajra 155mm,305.5,314.4,1725,59.1,168,0.1833,170,0.38,62,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1033,T-90 Bhishma,300.7,308.7,2588,28.3,45,0.0585,205,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1218,T-90 Bhishma,297.5,307.8,1595,26.1,47,0.0505,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0051,T-90 Bhishma,300.4,310.4,2578,37.5,80,0.0428,188,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1104,T-90 Bhishma,297.7,306.4,1493,23.8,12,0.0673,191,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1370,NAMICA ATGM,298.4,308.8,1866,43.8,95,0.0521,192,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0059,BMP-2 Sarath,299.2,308.0,1743,34.3,109,0.0529,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1648,K9 Vajra 155mm,303.6,314.9,1382,66.3,170,0.1531,174,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0936,T-90 Bhishma,299.7,310.8,2117,26.2,42,0.0561,201,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0733,Arjun Mk-II MBT,297.6,307.0,2364,37.1,80,0.0683,211,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1012,Arjun Mk-II MBT,297.0,309.4,1982,33.0,93,0.0683,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1659,Arjun Mk-II MBT,306.8,316.4,2530,65.6,141,0.1762,167,0.47,53,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0745,T-90 Bhishma,298.1,306.8,1465,19.9,46,0.0534,193,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1967,NAMICA ATGM,313.2,320.0,1998,83.3,243,0.4878,155,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1453,NAMICA ATGM,304.3,316.1,2344,65.4,170,0.2001,167,0.47,53,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0507,K9 Vajra 155mm,296.3,309.1,2352,31.3,61,0.062,200,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1055,T-90 Bhishma,296.5,307.6,2149,44.9,76,0.0704,199,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
